"","Average","Complete","Single","Ward"
"1",84.078711327938,84.078711327938,84.078711327938,139.700995915362
"2",93.9708369086911,93.9708369086911,93.9708369086911,95.3804488562805
"3",157.008273027183,157.008273027183,157.008273027183,137.106514353417
"4",109.634957016017,109.634957016017,109.634957016017,77.3725925269383
"5",128.272405574171,128.272405574171,47.4460638003264,80.2327167205288
"6",55.9487433040298,141.712533041048,55.9487433040298,93.6441451976007
"7",61.4115911866567,136.785125560703,61.4115911866567,91.6764485621797
"8",144.035193983621,146.221329045248,71.4474065289351,120.33892919771
"9",55.6410825233256,55.6410825233256,87.9060977050377,170.018325479113
"10",330.097064089352,338.533182143834,217.531796695987,462.859197635547
"11",168.947727057609,162.949106751684,110.488810677038,258.766475775698
"12",111.62567787374,85.7042808964225,62.3685087770283,117.67771615579
"13",309.503266926035,205.200680810266,99.3675137804969,83.3440868869667
"14",337.366167776634,115.187976238093,202.234820187645,67.7367361500659
"15",351.445771701414,418.8290298894,351.445771701414,459.56149166394
