Dates,CCMP(Eq),RTY(Eq),TRAN(Eq),NKY(Eq),XAGUSD(Cm),HG1(Cm),JO1(Cm),USGG3Y(B),GUKG10(B),GJGB10(B)
1990-01-01,454.82,168.23,1177.81,38915.87,5.22,106.4,165.65,7.86,10.24,5.74
1990-01-02,459.33,169.94,1201.1,38915.87,5.21,106.2,170.25,7.87,10.3,5.74
1990-01-03,460.9,170.78,1191.5,38915.87,5.16,109.65,172.05,7.93,10.35,5.74
1990-01-04,459.39,170.17,1187.77,38712.88,5.19,108.55,171,7.92,10.32,5.87
1990-01-05,458.22,169.71,1179.23,38274.76,5.19,109.5,179.65,7.91,10.33,5.9
1990-01-08,458.71,169.67,1178.34,38294.96,5.28,111.35,192.9,7.92,10.44,5.98
1990-01-09,456.77,169.46,1176.21,37951.46,5.24,110.2,189.2,7.91,10.54,6.18
1990-01-10,450.7,168.14,1164.3,37696.51,5.26,108.1,187,7.91,10.57,6.24
1990-01-11,448.86,168.2,1165.72,38170.13,5.31,109.2,185.5,7.94,10.61,6.28
1990-01-12,439.72,164.51,1140.65,37516.77,5.33,105.9,197.5,7.96,10.58,6.5
1990-01-15,436.64,163.07,1135.14,37516.77,5.33,104,191.25,7.97,10.74,6.5
1990-01-16,440.16,163.47,1156.47,36850.36,5.22,104.5,195.25,8.13,10.78,6.74
1990-01-17,438.68,163.58,1146.87,36821.14,5.22,104,196.2,8.08,10.87,6.72
1990-01-18,437.52,162.83,1142.43,36729.46,5.27,102.35,190.7,8.26,11.08,6.93
1990-01-19,440.88,163.65,1153.98,36836.54,5.2,99.3,198.85,8.18,10.93,6.82
1990-01-22,431.94,161.19,1128.2,37257.01,5.2,98.75,203.85,8.17,10.99,6.8
1990-01-23,430.42,160.49,1127.67,37378.02,5.26,97.45,204.85,8.26,11.03,6.75
1990-01-24,425.66,158.25,1128.2,36778.98,5.28,96.6,199.85,8.28,11.02,6.86
1990-01-25,425.24,157.98,1117.35,36969.11,5.22,97.7,198.75,8.31,10.88,6.65
1990-01-26,421.33,156.65,1101.17,36874.07,5.27,98.35,196.5,8.34,10.93,6.61
1990-01-29,418.11,154.96,1074.5,37173.7,5.25,96.75,196.8,8.4,10.87,6.58
1990-01-30,410.72,152.65,1031.83,37215.67,5.2,95.65,195.6,8.36,10.92,6.66
1990-01-31,415.81,153.33,1045.87,37188.95,5.2,98.6,196.5,8.32,10.94,6.76
1990-02-01,417.76,154.39,1060.3,37206.42,5.2,97.7,194.3,8.33,10.93,6.63
1990-02-02,422.21,156.01,1063.3,37650.15,5.31,100.05,194.5,8.41,10.96,6.63
1990-02-05,424.73,156.87,1074.1,37631.41,5.32,98.7,189.5,8.41,11.08,6.63
1990-02-06,423.99,156.92,1071.1,37666.83,5.31,99.2,192.8,8.46,11.03,6.69
1990-02-07,426.79,158.25,1082.9,37301.87,5.3,100.05,195.25,8.38,11.14,6.72
1990-02-08,427.32,158.63,1085,37516.24,5.32,99.75,195.4,8.32,11.04,6.8
1990-02-09,428.84,159.09,1088.2,37288.14,5.31,101.25,194.15,8.21,11.06,6.71
1990-02-12,426.38,158.46,1075.75,37288.14,5.3,99.9,192.95,8.29,11.12,6.71
1990-02-13,425.75,158.16,1084.1,37107.03,5.33,104.2,196.3,8.2,11.02,6.74
1990-02-14,426.56,158.27,1083.21,37155.89,5.28,105.7,196.1,8.26,11.02,6.82
1990-02-15,429.61,159.24,1081.26,37471.99,5.34,107.05,195.25,8.31,11.13,6.85
1990-02-16,429.01,159.3,1079.3,37460.32,5.32,111.35,195.1,8.32,11.18,6.93
1990-02-19,429.01,159.3,1079.3,37222.6,5.33,111.35,195.1,8.36,11.3,7
1990-02-20,423.83,157.9,1067.92,36895.52,5.35,113,196.7,8.53,11.34,7.1
1990-02-21,421.52,157.07,1084.64,35734.33,5.33,114.2,198.1,8.51,11.29,7.03
1990-02-22,422.75,157.81,1076.64,35826.84,5.28,114.8,194.25,8.45,11.33,7.03
1990-02-23,419.52,156.59,1081.26,34890.97,5.25,114,193.05,8.43,11.27,7.04
1990-02-26,420.95,156.33,1099.4,33321.87,5.23,113.85,190.35,8.37,11.28,7.03
1990-02-27,422.61,156.81,1116.29,33897.95,5.17,111.9,191.65,8.34,11.26,7.08
1990-02-28,425.83,157.8,1129.09,34591.99,5.12,113.85,190.85,8.43,11.44,7.13
1990-03-01,427.21,158.09,1133.89,33829.58,5.14,115.2,190.8,8.52,11.62,7.21
1990-03-02,431.02,159.22,1145.98,34057.56,5.14,119.8,188.25,8.5,11.71,7.29
1990-03-05,430.15,159.24,1139.4,33845.2,5.12,123,191.3,8.58,11.87,7.29
1990-03-06,432.33,160.37,1148.47,33791.08,5.13,120.25,191.85,8.52,11.98,7.24
1990-03-07,432.47,160.85,1135.31,33362.34,5.14,119.8,193.75,8.54,11.93,7.33
1990-03-08,436.5,162,1137.27,33690.89,5.14,121.2,192.5,8.57,11.92,7.31
1990-03-09,436.76,162.03,1139.05,33993.12,5.1,121.5,190.2,8.68,12.16,7.32
1990-03-12,436.56,162.12,1144.91,33368.23,5.12,121.3,188.8,8.68,12.1,7.32
1990-03-13,434.58,162.01,1155.76,32620.57,5.05,119,190.65,8.73,12.13,7.49
1990-03-14,436.15,162.73,1158.25,32352.13,5.08,125,189.65,8.65,12.03,7.51
1990-03-15,438.06,163.21,1148.12,32671.64,5.09,128.05,192.2,8.69,12.08,7.49
1990-03-16,442.16,164.15,1156.83,32616.44,5.11,129.85,192.7,8.6,11.93,7.4
1990-03-19,442.91,164.37,1179.23,31263.24,5.12,129.6,193.25,8.64,12.07,7.46
1990-03-20,440.08,164.12,1179.05,30807.19,5.11,128,189.05,8.62,12.2,7.4
1990-03-21,439.3,164.04,1171.94,30807.19,5.04,132.6,191.25,8.67,12.36,7.41
1990-03-22,434.51,162.57,1158.78,29843.34,5.06,129.1,193.1,8.59,12.31,7.37
1990-03-23,437.25,163.51,1170.87,30372.16,5.09,129.2,193,8.56,12.29,7.28
1990-03-26,438.84,163.69,1175.85,31840.49,4.96,126.2,193,8.56,12.15,7.28
1990-03-27,439.5,163.96,1192.57,31825.96,4.95,121.65,192.75,8.59,12.21,7.42
1990-03-28,436.69,163.69,1189.9,31263.57,5,122.5,193.95,8.56,12.21,7.47
1990-03-29,435.42,163.38,1182.25,31026.16,4.96,117.9,198.85,8.65,12.13,7.3
1990-03-30,435.54,163.69,1183.14,29980.45,4.96,122.4,198.95,8.65,12.12,7.45
1990-04-02,433.18,162.33,1178.9,28002.07,4.93,120.9,201.1,8.66,12.09,6.91
1990-04-03,437.65,163.4,1188.8,28759.72,5,124.85,201.4,8.63,12.03,6.85
1990-04-04,435.42,162.89,1182.3,28442.94,5.01,120.15,203.2,8.57,11.94,6.86
1990-04-05,433.42,162.84,1181.4,28249.06,5.14,118.9,198.25,8.58,11.86,6.84
1990-04-06,430.9,162.41,1174.1,29278.78,5.17,121.1,198.8,8.56,11.95,6.89
1990-04-09,430.18,161.53,1171.1,30397.93,5.14,116.7,194.75,8.58,12.02,6.9
1990-04-10,431.9,162.02,1176.4,29624.68,5.11,119.35,195.75,8.6,12.12,6.94
1990-04-11,433.53,162.22,1181.2,29440.28,5.08,118.1,198.3,8.59,12.16,6.83
1990-04-12,436.31,162.64,1191.5,29623.2,5.12,116.85,198.6,8.61,12.26,6.96
1990-04-13,436.31,162.58,1191.5,29213.92,5.12,116.85,198.6,8.6,12.26,6.96
1990-04-16,436.7,162.57,1188.66,28463.18,5.12,116.5,195.9,8.62,12.26,6.96
1990-04-17,435.42,162.24,1185.63,28461.6,5.05,116.25,195.2,8.71,12.39,6.9
1990-04-18,431.52,161.39,1172.12,29249.06,5.09,116.2,194.1,8.83,12.43,6.88
1990-04-19,429,160.83,1160.56,29945.41,5.09,116.6,193.75,8.83,12.49,6.86
1990-04-20,425.79,160.11,1154.87,29835.44,5.07,112.55,195,8.87,12.45,6.78
1990-04-23,420.08,158.58,1141.36,29679.07,5.08,112.1,189.65,8.9,12.5,6.8
1990-04-24,419.19,158.44,1134.07,29501.38,5.1,115.5,192,8.94,12.48,6.82
1990-04-25,420.56,158.68,1136.38,29564.36,5.02,120,194.45,9,12.69,6.87
1990-04-26,421.06,158.81,1139.05,29424.58,4.96,120,194.2,9.07,12.75,6.81
1990-04-27,417.98,157.86,1128.2,29584.8,4.96,119.6,192.7,9.02,12.84,6.86
1990-04-30,420.07,158.16,1129.98,29584.8,4.93,116.9,193.15,9.01,12.83,6.86
1990-05-01,421.84,158.49,1136.91,29689.83,4.95,122.1,194.25,9.07,12.77,6.88
1990-05-02,423.58,159.13,1138.69,30173.64,4.99,121.3,193,9.08,12.76,6.88
1990-05-03,425.44,159.81,1140.47,30173.64,5.01,120.2,194,9,12.62,6.88
1990-05-04,428.61,160.48,1145.09,30173.64,5.06,118.9,192.5,8.77,12.27,6.88
1990-05-07,431.23,160.86,1154.52,30956.27,5.06,117.2,193.8,8.78,12.27,6.77
1990-05-08,431.84,160.96,1165.01,30970.58,5.03,120.4,196.8,8.75,12.27,6.77
1990-05-09,431.34,161.08,1161.45,30945.61,4.99,124.4,195.8,8.76,12.39,6.72
1990-05-10,433.2,161.67,1160.74,30980.26,5.03,125.7,195.25,8.72,12.32,6.73
1990-05-11,438.1,163.19,1177.45,31512.14,5.04,125.05,196.7,8.57,12.17,6.56
1990-05-14,441.61,163.85,1180.65,32042.65,5.05,124,196.7,8.54,12.1,6.38
1990-05-15,442.5,163.69,1177.1,31997.04,5.03,121.3,194.85,8.56,12.1,6.38
1990-05-16,442.93,163.86,1174.08,31967.62,5.02,121.7,195,8.58,12.13,6.46
1990-05-17,445.74,164.92,1171.94,32061.6,5.02,121.2,190.3,8.6,11.72,6.4
1990-05-18,448.31,165.44,1177.28,32013.72,5.04,121.6,193.45,8.66,11.69,6.42
1990-05-21,452.89,166.77,1180.83,31765.05,5.13,119.9,192.95,8.64,11.57,6.46
1990-05-22,453.89,167.35,1169.63,31938.3,5.12,121.75,194.55,8.58,11.58,6.35
1990-05-23,456.87,167.9,1166.61,32176.51,5.09,119,195.45,8.51,11.7,6.33
1990-05-24,458.29,168.17,1159.5,32311.75,5.21,119.95,195.75,8.53,11.76,6.3
1990-05-25,453.69,167.37,1152.74,32793.88,5.22,119.95,197.4,8.57,11.83,6.22
1990-05-28,453.69,167.3,1152.74,33191.61,5.22,119.95,197.4,8.57,11.83,6.26
1990-05-29,457.51,168.29,1162.52,32817.67,5.23,115.85,197.45,8.54,11.83,6.37
1990-05-30,458.77,168.73,1163.76,32926.26,5.13,111.5,196.8,8.51,11.75,6.35
1990-05-31,458.97,169.06,1171.53,33130.8,5.07,110.85,196.1,8.52,11.81,6.34
1990-06-01,462.13,169.94,1189.4,32891.12,5.07,111.8,196.85,8.35,11.65,6.35
1990-06-04,465.61,170.86,1207.85,32925.37,5.05,111.15,196.35,8.33,11.62,6.34
1990-06-05,464.61,170.4,1212.59,32921.62,5.05,113.1,194.7,8.37,11.64,6.34
1990-06-06,464.96,170.18,1212.77,32953.5,5.09,112.1,193.25,8.37,11.75,6.38
1990-06-07,464.09,170.04,1208.58,33192.5,4.98,112.15,191.8,8.35,11.68,6.38
1990-06-08,460.87,169.16,1201.28,32993.29,5.01,111.75,191.5,8.37,11.67,6.41
1990-06-11,462.79,169.3,1202.01,32540.18,4.99,109.65,192.2,8.39,11.71,6.5
1990-06-12,466.56,170.27,1208.76,32322.31,5.01,110.6,191.5,8.4,11.58,6.45
1990-06-13,468.86,171.13,1204.56,32371.77,4.97,109.6,192.4,8.29,11.46,6.44
1990-06-14,467.1,170.82,1195.44,32668.11,4.91,110.8,190.15,8.26,11.26,6.37
1990-06-15,467.55,171.09,1193.25,32538.4,4.83,111.8,179.5,8.35,11.36,6.41
1990-06-18,460.79,168.91,1175.73,32376.8,4.83,113.9,176.3,8.4,11.52,6.41
1990-06-19,460.53,168.6,1178.83,32040.38,4.83,113,166.7,8.42,11.5,6.46
1990-06-20,460.8,168.4,1177.01,32087.76,4.82,109.85,174,8.44,11.12,6.46
1990-06-21,461.27,168.56,1176.64,32087.27,4.83,110.6,179.15,8.41,11.25,6.49
1990-06-22,459.33,168.14,1164.23,31694.57,4.82,111.2,183.9,8.39,11.11,6.56
1990-06-25,455.64,167.16,1147.81,31124.19,4.84,108.9,183.8,8.48,11.15,6.57
1990-06-26,455.38,166.99,1135.77,31571.77,4.8,108.35,183,8.44,11.24,6.55
1990-06-27,456.89,167.31,1140.88,32312.75,4.81,110,182.2,8.39,11.24,6.55
1990-06-28,460.38,168.46,1142.7,32106.19,4.82,114.3,187.9,8.33,11.34,6.65
1990-06-29,462.29,169.17,1142.7,31940.24,4.84,115.45,188.35,8.28,11.33,6.65
1990-07-02,462.04,169.03,1144.2,32160.23,4.9,114.1,190.4,8.27,11.41,6.73
1990-07-03,461.76,168.95,1140.5,32414.6,4.95,114.4,190.6,8.24,11.48,6.71
1990-07-04,461.76,168.95,1140.5,32445.92,4.93,114.4,190.6,8.24,11.51,6.65
1990-07-05,459.19,167.94,1131,32351.67,4.89,117.1,191,8.27,11.66,6.67
1990-07-06,460.53,168.15,1140.7,32445.12,4.88,119.6,192.2,8.38,11.69,6.62
1990-07-09,461.68,168.07,1149.1,32538.28,4.88,119.6,188.6,8.44,11.69,6.62
1990-07-10,460.97,167.67,1145.6,32152.43,4.8,118.6,190.8,8.45,11.66,6.71
1990-07-11,463.9,168.59,1155.3,32294.18,4.81,124.35,191.95,8.43,11.67,6.7
1990-07-12,467.17,169.4,1165,32575.32,4.82,127.35,192.3,8.3,11.67,6.76
1990-07-13,468.44,169.98,1187.6,32644.37,4.89,126.65,192.1,8.21,11.67,6.76
1990-07-16,469.6,169.93,1189.6,33021.73,4.91,125.1,189.55,8.22,11.4,6.71
1990-07-17,464.48,168.75,1187.6,33172.28,4.85,122.75,186.95,8.19,11.49,6.75
1990-07-18,460.82,167.71,1171.5,33048.11,4.82,121.3,186.85,8.21,11.47,6.76
1990-07-19,458.17,166.88,1172.6,33055.62,4.88,119.45,177.15,8.19,11.53,6.81
1990-07-20,455.27,166.6,1159.3,32421.52,4.86,121.15,174.4,8.15,11.48,6.9
1990-07-23,444.64,162.83,1136.1,31894.79,4.88,120.75,173.25,8.17,11.39,6.98
1990-07-24,442.56,163.12,1138,31702.46,4.9,122.25,173.2,8.22,11.47,7
1990-07-25,445.45,163.57,1141.6,31701.27,4.87,123.7,172.15,8.19,11.59,6.97
1990-07-26,445.43,163.99,1142.15,31369.75,4.85,125.5,176.2,8.21,11.56,7
1990-07-27,442.59,163.08,1134.67,30863.48,4.83,126.8,174.4,8.12,11.43,7.08
1990-07-30,439.38,161.88,1125,30442.95,4.83,123.55,172.85,8.03,11.45,7.08
1990-07-31,438.24,161.51,1093.43,31035.66,4.85,124.6,173.2,7.98,11.47,7.12
1990-08-01,435.91,160.79,1090.88,30837.99,4.81,128.85,173.8,7.93,11.35,7.08
1990-08-02,428.89,158.66,1078.28,30245.18,4.93,128.9,176.15,8,11.41,7.1
1990-08-03,417.46,154.42,1039.05,29515.76,4.82,125.5,178.95,7.97,11.61,7.26
1990-08-06,400.04,149.2,980.29,28599.53,4.87,126.35,176.35,8.05,11.87,7.53
1990-08-07,402.08,149.35,964.78,27653.07,4.93,127.3,176.6,8.14,11.83,7.72
1990-08-08,407.73,151.22,991.42,28509.14,4.87,130.95,178,8.17,11.87,7.53
1990-08-09,412.98,152.61,998.18,27615.73,4.88,132.05,179.3,8.1,11.81,7.58
1990-08-10,408.03,150.95,974.82,27329.55,4.94,132,179.45,8.1,11.79,7.59
1990-08-13,405.28,150.49,978.83,26176.43,5.08,129.8,179.5,8.07,11.87,7.59
1990-08-14,410.33,151.22,967.7,26672.53,5.2,132.85,180.5,8.08,11.86,7.62
1990-08-15,411.45,151.3,961.68,28112.12,5.13,133.55,180.55,8.08,11.84,7.52
1990-08-16,402.27,148.46,939.78,27549.44,5.06,132.65,180.6,8.24,11.9,7.5
1990-08-17,393.49,145.68,923.91,26786.72,5.21,133.3,170.65,8.23,12.02,7.53
1990-08-20,388.59,144.18,930.29,26490.47,5.2,131.95,168.7,8.29,12.04,7.54
1990-08-21,379.68,140.9,908.58,26297.84,5.16,131.75,166.75,8.3,12.1,7.61
1990-08-22,374.84,139.09,894.34,25210.91,5.11,129.15,164.8,8.4,12.04,7.73
1990-08-23,360.22,133.09,861.31,23737.63,5.21,129.65,167.45,8.42,11.99,7.94
1990-08-24,367.33,134.36,869.71,24165.76,5.13,129.05,166.25,8.44,11.99,7.96
1990-08-27,381.27,138.84,908.03,25141.76,5.13,130.35,169.75,8.32,11.99,7.93
1990-08-28,382.86,139.62,899.82,25710.76,4.92,128.9,169.4,8.39,11.84,7.85
1990-08-29,381.78,140.07,911.13,24894.79,4.86,129.7,163.45,8.3,11.83,8.03
1990-08-30,378.68,139.3,901.26,25669.96,4.83,129.55,160.65,8.28,11.81,7.86
1990-08-31,381.21,139.6,901.44,25978.37,4.83,130.05,159.25,8.24,11.7,7.78
1990-09-03,381.21,139.51,901.44,25420.43,4.85,130.05,159.25,8.26,11.8,7.73
1990-09-04,381.67,139.18,896.08,24907.64,4.81,128.1,156.7,8.25,11.72,7.78
1990-09-05,382.44,140.09,897.74,24078.34,4.75,126.15,156.5,8.19,11.78,7.76
1990-09-06,378.78,139.48,892.2,23811.91,4.8,128.2,154.3,8.2,11.77,7.86
1990-09-07,380.38,140.19,908.28,23962.07,4.78,135.45,149.8,8.16,11.88,7.9
1990-09-10,381.73,140.34,908.1,25080.9,4.77,133.8,150.5,8.22,11.82,7.91
1990-09-11,379.49,139.9,909.58,24604.66,4.75,134.8,150.7,8.2,11.74,7.95
1990-09-12,380.32,139.94,908.65,25216.14,4.79,135.9,150.25,8.18,11.77,8.02
1990-09-13,376.18,138.81,898.11,25075.08,4.8,132.8,149.75,8.16,11.76,7.86
1990-09-14,374.42,138.03,889.42,24897.46,4.78,133.3,149.45,8.19,11.82,8.01
1990-09-17,374.11,137.52,887.94,24365.6,4.78,133.45,155.8,8.19,11.81,8.06
1990-09-18,372.21,136.95,901.44,23884.82,4.78,130,136.7,8.19,11.81,8.2
1990-09-19,371.68,136.82,888.31,23726.17,4.8,127,134.6,8.21,11.81,8.19
1990-09-20,364.43,134.78,879.99,23602.98,4.79,125.5,134.6,8.21,11.72,8.12
1990-09-21,362.25,133.88,876.66,23777.83,4.81,128.8,134.7,8.27,11.75,8.11
1990-09-24,352.16,130.48,841.9,23777.83,4.82,128.4,136.75,8.36,11.77,8.12
1990-09-25,354.78,130.6,844.67,23359.32,4.92,129.2,135.1,8.34,11.79,8.12
1990-09-26,350.03,128.77,846.52,22250.62,4.82,133.8,136.7,8.34,11.89,8.21
1990-09-27,341.19,126.4,828.03,21771.91,4.77,119.85,136.7,8.21,11.89,8.23
1990-09-28,344.51,126.99,841.35,20983.5,4.79,118.8,137,8.14,11.82,8.22
1990-10-01,354.65,128.67,873.15,20221.86,4.78,117,136.8,8.1,11.78,8.08
1990-10-02,356.39,129.26,894.79,22898.41,4.69,118.35,141.85,8.05,11.76,7.9
1990-10-03,351.45,128.2,882.77,22849.39,4.69,121,138.8,8.04,11.75,7.63
1990-10-04,349.89,127.77,869.27,22278.19,4.71,120.6,138.4,7.96,11.71,7.72
1990-10-05,347.36,126.93,866.31,22827.65,4.71,122.05,138,7.95,11.27,7.72
1990-10-08,348.14,126.98,859.65,23630,4.66,120.65,137.25,7.96,11.23,7.7
1990-10-09,339.11,124.49,841.35,23495.11,4.69,118.1,132.2,8.07,11.35,7.7
1990-10-10,333.25,122.89,835.43,23495.11,4.62,119.35,132.45,8.17,11.36,7.7
1990-10-11,325.61,120.19,823.96,22585.63,4.38,115.75,129.9,8.18,11.39,7.54
1990-10-12,327.55,120.53,829.7,22390.16,4.24,113.5,113.45,8.09,11.38,7.64
1990-10-15,329.54,120.63,832.29,23109.2,4.25,114.25,117.95,8.06,11.46,7.54
1990-10-16,325.44,119.55,823.41,23606.1,4.2,113.35,117.85,8.06,11.48,7.47
1990-10-17,326.78,119.61,821.93,23859.36,4.21,112.1,112,8.07,11.47,7.41
1990-10-18,334.03,121.23,856.88,24367.08,4.24,114,108.65,8.02,11.48,7.31
1990-10-19,337.36,122.35,868.16,24481.49,4.24,117.5,110.2,7.97,11.54,7.33
1990-10-22,341.12,121.99,883.69,25070.86,4.23,117.3,112.25,7.97,11.43,7.3
1990-10-23,341.09,122.57,875,25298.3,4.23,122.65,114.9,7.97,11.4,7.25
1990-10-24,340.98,122.49,867.05,24876.88,4.22,120.45,119,7.94,11.39,7.18
1990-10-25,339.74,122.6,851.33,25352.63,4.23,119.8,116.25,7.92,11.43,7.27
1990-10-26,334.36,121.12,837.09,25005.64,4.22,119.8,115.9,7.93,11.41,7.23
1990-10-29,330.8,119.96,827.11,25329.31,4.07,117.2,115.5,7.95,11.41,7.32
1990-10-30,329.83,119.1,825.07,25242.4,4.13,115.65,116.1,7.95,11.35,7.16
1990-10-31,329.84,119.05,822.3,25194.1,4.22,115.75,115.25,7.9,11.24,7.16
1990-11-01,330.6,119.24,831.92,24295.16,4.18,113.5,115.85,7.81,11.34,7.25
1990-11-02,336.45,120.58,842.46,24194.99,4.28,115.6,115.5,7.83,11.36,7.19
1990-11-05,340.76,121.56,850.59,24385.33,4.17,113.7,114.95,7.78,11.29,7.15
1990-11-06,340.53,121.68,844.12,23965.75,4.22,114.95,115.5,7.78,11.28,7.18
1990-11-07,336.8,120.7,832.84,23500.25,4.22,114.95,117.5,7.8,11.29,7.21
1990-11-08,336.37,120.5,827.66,22969.81,4.26,113.8,114.75,7.8,11.33,7.26
1990-11-09,341.95,121.65,833.39,22931.8,4.24,114.9,114.5,7.74,11.35,7.27
1990-11-12,351.46,123.49,866.68,22931.8,4.21,114.35,115.9,7.71,11.31,7.27
1990-11-13,352.87,124,867.79,23973.67,4.21,115.6,115.9,7.7,11.29,7.22
1990-11-14,356.87,125.04,877.59,23937.44,4.2,115.1,115.9,7.69,11.39,7.22
1990-11-15,354.46,124.66,867.97,23487.48,4.17,116.45,112.6,7.69,11.32,7.2
1990-11-16,350.85,124.5,864.46,23171.63,4.14,117.65,109.7,7.68,11.26,7.13
1990-11-19,352.73,124.99,867.79,23518.16,4.13,116.1,110.4,7.73,11.21,7.05
1990-11-20,348.29,124.43,853,23205.48,4.14,116.45,113.1,7.7,11.1,7.07
1990-11-21,348.77,124.33,849.85,22816.99,4.11,115.1,113.6,7.61,11.02,7
1990-11-22,348.77,124.03,849.85,23400.28,4.15,115.1,113.6,7.62,10.94,6.93
1990-11-23,349.04,124.4,844.12,23400.28,4.14,115.5,113.6,7.62,10.87,6.93
1990-11-26,348.86,124.24,835.8,23762.86,4.19,116.45,107.35,7.63,10.75,6.75
1990-11-27,354.05,125.57,839.13,23623.51,4.12,112.3,107.75,7.65,10.8,6.86
1990-11-28,355.06,126.27,831.18,23053.88,4.11,112.25,108.4,7.7,10.88,6.85
1990-11-29,355.75,126.39,828.03,22712.6,4.13,111.2,107.25,7.72,10.75,6.88
1990-11-30,359.06,127.81,853,22454.63,4.08,111.1,108,7.72,10.72,6.82
1990-12-03,361.32,128.24,872.04,22725.99,4.12,112.5,107.8,7.63,10.79,6.73
1990-12-04,364.11,128.86,881.84,21862.61,4.16,112.95,107.7,7.56,10.68,6.76
1990-12-05,370.87,130.92,903.67,22193.72,4.15,111.8,108.8,7.56,10.66,6.67
1990-12-06,372.29,131.33,913.79,22553.1,4.12,113.25,106.6,7.57,10.57,6.77
1990-12-07,371.54,131.14,909.67,23522.49,4.14,110.15,101.75,7.41,10.53,6.7
1990-12-10,371.47,130.81,909.67,23784.67,4.09,109.9,101,7.37,10.57,6.58
1990-12-11,367.99,130.05,905.17,23956.97,4.08,109.7,101.6,7.34,10.52,6.53
1990-12-12,370.42,130.75,915.29,23999.41,4.06,111.1,101.15,7.3,10.51,6.58
1990-12-13,371.5,131.17,917.17,24642.97,4.01,111.7,103,7.38,10.48,6.52
1990-12-14,368.83,130.41,903.11,24349.5,3.96,111.2,104.05,7.44,10.56,6.56
1990-12-17,365.72,129.37,895.24,24087.91,3.95,111.85,104,7.4,10.6,6.5
1990-12-18,370.17,130.19,907.05,24424.02,3.96,111.9,109.75,7.26,10.67,6.44
1990-12-19,371.22,130.82,916.98,24876.78,3.97,112.5,110.05,7.34,10.62,6.42
1990-12-20,372.3,130.95,915.67,24524.94,4.1,112.6,120,7.38,10.74,6.48
1990-12-21,373.6,131.06,923.91,24119.6,4.14,112.6,116.4,7.42,10.75,6.54
1990-12-24,372.41,130.54,920.91,24119.6,4.04,112.6,116.4,7.5,10.81,6.54
1990-12-25,372.41,130.85,920.91,23767.88,4.04,112.6,116.4,7.49,10.81,6.6
1990-12-26,372.4,130.99,922.23,23887.56,4.04,113.15,118.1,7.44,10.81,6.53
1990-12-27,371.05,130.88,913.42,23940.7,4.09,112.5,116.5,7.41,10.81,6.48
1990-12-28,371.2,130.7,911.54,23848.71,4.09,114.1,113.5,7.44,10.81,6.53
1990-12-31,373.84,132.4,910.23,23848.71,4.19,116.85,113.5,7.35,10.81,6.53
1991-01-01,373.84,132.2,910.23,23848.71,4.19,116.85,113.5,7.35,10.89,6.53
1991-01-02,372.19,131.88,909.3,23848.71,4.16,119.3,105.35,7.35,10.89,6.53
1991-01-03,367.51,130.62,909.48,23848.71,4.09,116.3,106.15,7.24,10.68,6.53
1991-01-04,367.24,130.39,909.11,24069.18,4.21,115.9,106.15,7.33,10.7,6.34
1991-01-07,360.24,128.5,894.3,23736.57,4.2,116.8,108.55,7.38,10.65,6.42
1991-01-08,359,127.81,898.05,22897.84,4.25,114.5,113,7.35,10.68,6.5
1991-01-09,357.45,127.03,895.8,22969.27,4.08,113.45,113.85,7.4,10.56,6.5
1991-01-10,361.92,127.77,904.42,23047.36,4.13,113.1,114.5,7.32,10.59,6.43
1991-01-11,361.8,127.83,905.45,23241.02,4.15,112.85,117,7.35,10.58,6.38
1991-01-14,355.75,125.59,898.8,23213.23,4.19,110.6,121,7.36,10.72,6.44
1991-01-15,357.3,125.47,902.15,23213.23,4.2,107.7,125,7.38,10.72,6.44
1991-01-16,365.2,126.95,917.67,22442.7,4.22,105.85,122.25,7.4,10.8,6.54
1991-01-17,375.81,130.43,979.55,23446.81,4.09,109.25,122.25,7.36,10.48,6.37
1991-01-18,376.99,130.03,1001.06,23808.3,4.04,108.25,125.9,7.34,10.4,6.37
1991-01-21,379.7,130.51,995.06,23352.19,4.03,108.4,128.15,7.32,10.37,6.41
1991-01-22,379.03,131.2,986.95,23253.65,4.02,105.95,123.15,7.33,10.39,6.43
1991-01-23,383.91,132.76,996.3,23050.1,3.97,104.9,121.9,7.29,10.41,6.41
1991-01-24,391.33,135.17,1036.32,23269.01,3.87,103.1,120.05,7.25,10.32,6.4
1991-01-25,394.28,136.69,1036.67,23573.25,3.83,104.2,117.7,7.3,10.34,6.38
1991-01-28,396.8,137.9,1032.62,23569.44,3.8,105.5,122.1,7.32,10.36,6.4
1991-01-29,400.61,139.32,1029.62,23460.12,3.85,105.35,122.25,7.29,10.37,6.36
1991-01-30,408.53,142.04,1065.41,23409.61,3.8,106.7,122.65,7.28,10.3,6.35
1991-01-31,414.2,144.18,1069.11,23293.14,3.82,106.4,119.35,7.23,10.24,6.39
1991-02-01,417.69,145.54,1063.47,23156.7,3.87,106.7,119.1,7.02,10.22,6.41
1991-02-04,424.8,148.23,1080.04,23287.36,3.86,105.8,120.95,6.98,10.24,6.42
1991-02-05,432.2,150.2,1090.27,23821.57,3.82,106.75,118.85,6.98,10.22,6.35
1991-02-06,439.24,152.35,1113.01,23952.04,3.81,107.8,118.4,6.97,10.2,6.29
1991-02-07,435.01,151.23,1103.67,24104.43,3.8,107.45,121,7.01,10.14,6.34
