Dates,CAC(Eq),SENSEX(Eq),SPTSX(Eq),DAX(Eq),SPGSCITR(Cm),XPTUSD(Cm),LMCADS03(Cm),USGG12M(B),GNZGB10(B),GDBR10(B)
1990-01-01,2001.08,783.35,3969.8,1790.37,1891.64,504,2400.3,7.82,12.52,7.29
1990-01-02,1988.85,780.01,4004.4,1814.38,1937.46,504,2356.4,7.79,12.52,7.48
1990-01-03,1979.89,763.22,4009.5,1869.66,1970.27,504,2395.5,7.83,12.52,7.51
1990-01-04,2006.42,760.8,4001,1835.88,1938.69,475,2482.9,7.81,12.5,7.43
1990-01-05,1994.36,774.58,3990.4,1820,1897.99,475,2474.8,7.8,12.45,7.5
1990-01-08,1968.95,778.33,3971.1,1843.24,1844.73,492,2476.2,7.79,12.47,7.51
1990-01-09,1970.28,774.5,3952.4,1865.94,1864.97,492,2503.6,7.77,12.47,7.5
1990-01-10,1970.38,782.48,3941.6,1839.63,1902.96,492,2464.2,7.75,12.35,7.48
1990-01-11,1992.89,780.34,3941.8,1855.83,1922.69,492,2456.6,7.76,12.27,7.46
1990-01-12,1968.65,780.34,3881.9,1855.66,1914.22,492,2445.1,7.75,12.28,7.46
1990-01-15,1962.89,763.55,3894.1,1841.61,1888.59,500,2368.7,7.75,12.28,7.5
1990-01-16,1935.21,755.58,3900,1788.68,1886.68,500,2344.8,7.93,12.28,7.62
1990-01-17,1953.14,745.19,3872.3,1802.48,1866.37,500,2362.9,7.88,12.3,7.6
1990-01-18,1934.72,738.58,3857.4,1779.17,1876.27,497,2355.6,8.05,12.31,7.68
1990-01-19,1925.95,710.75,3865.1,1773.56,1892.34,497,2291.4,7.99,12.16,7.72
1990-01-22,1915.82,706.85,3801.6,1779.3,1876.73,495,2270.1,7.99,11.97,7.73
1990-01-23,1912.36,722.01,3812.7,1801.52,1864.44,495,2190.2,8,11.92,7.73
1990-01-24,1881.73,718.95,3761.5,1756.41,1860.79,495,2195.6,8.01,12.08,7.74
1990-01-25,1893.23,716.23,3749.4,1787.59,1879.88,498,2242.7,8.04,12.15,7.72
1990-01-26,1886.75,716.23,3733.8,1794.14,1886.6,498,2198.4,8.05,12.14,7.71
1990-01-29,1904.71,716.23,3722.6,1811.55,1899.1,507,2243.4,8.11,12.13,7.65
1990-01-30,1892.03,701.08,3707.1,1812.9,1884.7,507,2189.5,8.08,12.15,7.65
1990-01-31,1882.88,683.32,3704.5,1822.78,1883.36,507,2180.7,8.08,12.2,7.65
1990-02-01,1895.53,692.41,3709.1,1858.08,1880.8,513,2235.3,8.1,12.17,7.7
1990-02-02,1924.7,684.48,3719.6,1910.67,1904.2,513,2236.4,8.12,12.17,7.73
1990-02-05,1926.14,684.48,3767.3,1939.43,1880.5,510,2250,8.13,12.13,7.81
1990-02-06,1916.33,674.26,3769.1,1937.72,1879.97,510,2222.9,8.14,12.13,7.94
1990-02-07,1895.24,674.47,3779.3,1900.1,1877.3,510,2231.5,8.16,12,8.16
1990-02-08,1905.51,659.3,3783.4,1915.79,1871.19,511,2245,8.1,12.02,8.28
1990-02-09,1898.25,659.3,3777.8,1885.89,1860.54,511,2285,8.02,12.06,8.38
1990-02-12,1867.4,673.27,3766.3,1860.39,1879.71,508,2288.2,8.04,12.11,8.58
1990-02-13,1845.43,673.26,3751.9,1840.98,1881.24,508,2228.5,7.9,12.04,8.5
1990-02-14,1853.99,679.69,3750.4,1832.23,1890.18,508,2279.7,8.05,12.08,8.47
1990-02-15,1856.86,690.07,3732.8,1850.96,1908.52,517,2306.7,8.09,12.08,8.54
1990-02-16,1871.12,689.98,3731.7,1893.66,1896.44,517,2369.2,8.09,12.08,8.64
1990-02-19,1838.03,679.53,3733.8,1869.19,1896.44,519,2391.6,8.09,12.07,8.93
1990-02-20,1820.16,674.47,3692.3,1823.81,1893.34,519,2407.3,8.23,12.08,8.99
1990-02-21,1803.79,679.57,3672.5,1807.19,1882.61,519,2379.2,8.21,12.08,8.74
1990-02-22,1836.91,679.97,3668.7,1820.15,1892.75,531,2443.1,8.13,12.1,8.73
1990-02-23,1803.62,679.97,3652.6,1789.64,1888.13,531,2405.5,8.1,12.13,8.74
1990-02-26,1804.1,680.58,3649.5,1776.04,1901.41,522,2380.6,8.08,12.15,8.7
1990-02-27,1825.38,680.58,3660.3,1804.32,1883.93,522,2395.8,8.05,12.2,8.63
1990-02-28,1849.68,676.23,3686.8,1809.92,1877.21,522,2399.4,8.11,12.18,8.63
1990-03-01,1832.44,692.59,3700.2,1787.87,1848.15,509,2417,8.22,12.05,8.96
1990-03-02,1860.48,691.61,3707.5,1818.23,1865.94,509,2418.2,8.24,12.04,8.98
1990-03-05,1874.43,685.88,3712,1833.16,1898.11,508,2474.4,8.31,12.04,8.96
1990-03-06,1872.3,678.7,3723.2,1822.22,1883.69,508,2536.6,8.26,12.04,9.02
1990-03-07,1880.57,678.38,3728.7,1844.72,1872.18,508,2511.9,8.27,12.03,8.98
1990-03-08,1917.99,670.38,3752.1,1860.92,1871.94,509,2498.6,8.34,12.06,8.9
1990-03-09,1921.11,673.94,3733,1858.74,1851.96,509,2547.6,8.46,12.16,8.93
1990-03-12,1912.59,673.94,3740.3,1846.08,1844.57,505,2518.7,8.41,12.16,8.92
1990-03-13,1924.3,688.08,3734.1,1867.48,1842.73,505,2518.5,8.46,12.17,8.9
1990-03-14,1946.37,683.47,3734.7,1862.84,1846.9,505,2516.1,8.39,12.2,8.72
1990-03-15,1964.47,683.47,3757.4,1879.32,1874.29,499,2587.3,8.4,12.25,8.71
1990-03-16,1958.82,686.29,3760.8,1889.69,1861.58,499,2612.2,8.34,12.25,8.66
1990-03-19,1936.96,711.04,3772.2,1906.77,1856.51,502,2596.5,8.38,12.25,8.81
1990-03-20,1925.39,726.31,3744.7,1908.83,1850.61,502,2555.9,8.36,12.22,8.72
1990-03-21,1937.18,721.69,3735.9,1937.99,1860.95,502,2562,8.4,12.3,8.65
1990-03-22,1914.11,739.22,3705,1918.98,1860,489,2601,8.3,12.35,8.55
1990-03-23,1937.4,757.76,3701.5,1932.12,1878.53,489,2519.5,8.28,12.35,8.61
1990-03-26,1964.16,761.33,3667.5,1939.53,1878.09,495,2501.1,8.29,12.35,8.49
1990-03-27,1945.96,761.33,3678.5,1924.98,1877.62,495,2528.4,8.35,12.34,8.53
1990-03-28,1939.33,770.3,3677.4,1928.6,1874.8,495,2454.3,8.31,12.34,8.55
1990-03-29,1947.23,767.74,3665.9,1953.89,1879.93,479,2543.5,8.48,12.33,8.52
1990-03-30,1971.79,781.05,3639.6,1968.55,1890.95,479,2558.2,8.33,12.3,8.41
1990-04-02,1947.18,782.97,3612.3,1931.3,1909.22,475,2658.6,8.31,12.35,8.39
1990-04-03,1985.55,782.97,3648.2,1968.33,1911.67,475,2615.4,8.29,12.38,8.42
1990-04-04,2001.49,805.86,3635,1963.25,1892.75,475,2625.6,8.24,12.4,8.44
1990-04-05,2028.06,794.44,3630.7,1958.39,1878.18,477,2556.5,8.27,12.37,8.45
1990-04-06,2069.89,770.74,3632.4,1947.84,1870.85,477,2554.2,8.27,12.37,8.55
1990-04-09,2083.9,769.97,3613.7,1923.86,1850.32,480,2567.4,8.29,12.39,8.65
1990-04-10,2075.38,781.17,3594.9,1898.51,1828.99,480,2531.4,8.29,12.39,8.69
1990-04-11,2103.1,781.17,3565.8,1893.77,1846.28,480,2522,8.25,12.36,8.65
1990-04-12,2116.66,748.79,3561.2,1918.17,1833.82,476,2569.7,8.28,12.38,8.65
1990-04-13,2116.66,748.79,3561.2,1918.17,1833.82,476,2569.7,8.27,12.38,8.65
1990-04-16,2116.66,748.79,3549.3,1918.17,1847.25,476,2569.7,8.28,12.38,8.65
1990-04-17,2126.34,755.58,3513.4,1914.35,1842.02,476,2524.5,8.36,12.34,8.7
1990-04-18,2098.68,773.76,3476.5,1889.76,1829.41,476,2500,8.46,12.37,8.68
1990-04-19,2097.12,759.15,3410.7,1878.87,1864.55,478,2461.7,8.44,12.36,8.72
1990-04-20,2129.32,787.36,3355.7,1884.33,1863.38,478,2456.1,8.42,12.36,8.72
1990-04-23,2089.77,792.57,3344.1,1837.5,1881.92,482,2459.7,8.51,12.35,8.79
1990-04-24,2101.4,791.79,3341,1830.53,1877.32,482,2440.9,8.52,12.38,8.83
1990-04-25,2091.57,793.58,3343.2,1843.31,1865.45,482,2497.5,8.54,12.38,8.81
1990-04-26,2072.16,793.58,3369.5,1827.07,1863.18,483,2506.1,8.63,12.44,8.79
1990-04-27,2066.27,793.58,3336.1,1825.52,1868.67,483,2485.6,8.51,12.46,8.81
1990-04-30,2046.46,795.13,3341,1813.25,1871.12,473,2439.2,8.54,12.46,8.81
1990-05-01,2046.46,795.13,3334.2,1813.25,1893.11,473,2465.6,8.57,12.45,8.81
1990-05-02,2066.03,786.21,3340.4,1843.41,1890.64,473,2496.4,8.61,12.45,8.86
1990-05-03,2098.95,779.22,3346.7,1881.79,1863.17,478,2523.2,8.55,12.42,8.82
1990-05-04,2102.64,776.11,3367.9,1912.89,1867.01,478,2510.1,8.43,12.46,8.52
1990-05-07,2119.83,779.38,3421.6,1934.95,1888.24,481,2510.1,8.41,12.45,8.54
1990-05-08,2119.83,785.19,3438,1899.28,1885.58,481,2458.9,8.38,12.46,8.54
1990-05-09,2103.69,785.19,3464.1,1896.58,1914.53,481,2518.4,8.38,12.46,8.5
1990-05-10,2104.56,779.5,3486.5,1893.42,1911.79,476,2563.5,8.32,12.47,8.49
1990-05-11,2091.85,780.73,3535,1875.03,1894.62,476,2537.2,8.2,12.47,8.49
1990-05-14,2090.14,774.75,3526.6,1860.33,1918.93,481,2526,8.2,12.49,8.56
1990-05-15,2070.67,786.9,3505.4,1851.25,1918.31,481,2482.4,8.22,12.45,8.56
1990-05-16,2070.7,786.9,3486.8,1841.77,1919.44,481,2479,8.21,12.42,8.67
1990-05-17,2103.94,770.36,3509.5,1841.58,1926.04,487,2514.4,8.23,12.38,8.63
1990-05-18,2100.17,767.02,3521.3,1843.59,1923.9,487,2505.8,8.28,12.2,8.67
1990-05-21,2092.21,780.3,3521.3,1811.18,1910.07,489,2491.1,8.26,12.22,8.81
1990-05-22,2115,777.98,3540.6,1813.26,1907.64,489,2511.1,8.22,12.15,8.8
1990-05-23,2123.34,788.14,3519.5,1831.8,1874.89,489,2523.9,8.14,12.18,8.77
1990-05-24,2123.34,786.08,3510.6,1831.8,1878.15,501,2521.4,8.14,12.17,8.75
1990-05-25,2111.9,787.1,3494.7,1823.17,1876.47,501,2518.9,8.22,12.16,8.78
1990-05-28,2114.39,810.15,3498.7,1828.96,1876.47,501,2518.9,8.22,12.19,8.79
1990-05-29,2123.09,811.59,3524.3,1842.74,1895.7,501,2521.1,8.2,12.2,8.79
1990-05-30,2120.8,803.89,3565.6,1840.54,1891.4,501,2448.1,8.17,12.19,8.79
1990-05-31,2107.51,800.8,3582,1844.41,1857.3,499,2481.2,8.22,12.26,8.79
1990-06-01,2087.6,799.5,3593,1856.95,1852.63,499,2455.8,8.06,12.25,8.69
1990-06-04,2087.6,797.61,3601.6,1856.95,1838.06,490,2487.1,8.05,12.25,8.69
1990-06-05,2069.43,795.11,3596.7,1876.69,1827.59,490,2475.6,8.07,12.21,8.67
1990-06-06,2045.43,794.18,3612,1849.02,1834.29,490,2465.8,8.07,12.27,8.74
1990-06-07,2050.45,790.03,3604.7,1837.43,1823.21,485,2465.2,8.05,12.24,8.8
1990-06-08,2021.41,790.03,3571.4,1822.23,1817.97,485,2479.1,8.08,12.2,8.82
1990-06-11,2002.38,794.78,3578.7,1809.66,1818.9,483,2470.8,8.09,12.24,8.84
1990-06-12,2005.82,787.36,3607.7,1800.36,1848.61,483,2493.8,8.11,12.25,8.86
1990-06-13,2025.59,781.66,3605.8,1787.39,1853.73,483,2447.6,8.01,12.23,8.85
1990-06-14,2028.08,783.21,3577.2,1787.39,1834.62,485,2424.1,7.97,12.15,8.84
1990-06-15,2011.87,785.75,3569.1,1792.26,1826.31,485,2453.5,8.05,12.14,8.83
1990-06-18,1988.33,791.32,3519.9,1797.42,1826.31,475,2472.7,8.1,12.12,8.86
1990-06-19,2000.14,790.76,3529.1,1836.74,1810.44,475,2520.5,8.12,12.1,8.86
1990-06-20,2003.66,790.31,3530.5,1849.55,1809.84,475,2457,8.13,12.12,8.83
1990-06-21,2007.98,800.31,3526.3,1863.57,1814.48,474,2469.5,8.11,12.12,8.84
1990-06-22,2031.73,814.72,3490.8,1872.92,1832.49,474,2475.5,8.08,12.13,8.8
1990-06-25,2040.08,817.54,3474.2,1896.21,1843.52,478,2461.6,8.14,12.09,8.77
1990-06-26,2053.4,820.35,3495.2,1890.36,1830.11,478,2431.9,8.16,12.08,8.7
1990-06-27,2033.2,829.47,3519.3,1901.46,1815.06,478,2448.1,8.11,12.09,8.7
1990-06-28,2038.41,834.49,3530,1895.17,1833.07,478,2469.9,8.04,12.1,8.73
1990-06-29,2035.03,850.5,3544,1879.9,1828.55,478,2539.5,8.03,12.12,8.72
1990-07-02,2029.54,850.5,3544,1915.3,1832.55,483,2545,8.05,12.1,8.68
1990-07-03,2031.98,862.88,3560,1906.23,1830.12,483,2561.5,7.99,12.09,8.64
1990-07-04,2015.93,883.03,3575.3,1925.13,1830.12,483,2536.4,7.99,12.08,8.6
1990-07-05,1999.98,883.03,3551.3,1914.18,1817.08,488,2544.3,8.03,12.1,8.63
1990-07-06,2001.9,896.25,3549.8,1932.8,1806.72,488,2606.6,8.12,12.1,8.67
1990-07-09,1990.38,896.16,3540.7,1923.86,1813.39,488,2628.6,8.19,12.11,8.67
1990-07-10,1963.02,893.08,3528,1909.63,1826.81,488,2638.9,8.2,12.06,8.72
1990-07-11,1971.42,909.3,3544.6,1917.89,1845.02,488,2648.9,8.19,12.05,8.69
1990-07-12,1975.18,924.29,3569.8,1916.22,1891.26,479,2705.1,7.97,12.02,8.65
1990-07-13,1998.34,920.24,3596.4,1931.33,1912.76,479,2713.9,7.89,12,8.56
1990-07-16,2015.59,886.33,3638.9,1931.86,1941.88,473,2672.9,7.9,11.99,8.46
1990-07-17,2019.5,916.93,3613.4,1929,1939.47,473,2674,7.86,12.02,8.49
1990-07-18,2030.75,926.92,3580.9,1966.04,1923.85,473,2635.9,7.87,11.96,8.36
1990-07-19,2023.31,941.7,3575,1959.09,1927.25,472,2637.2,7.86,11.97,8.44
1990-07-20,2030.6,940.73,3577.7,1947.43,1930.81,472,2609.7,7.84,11.98,8.41
1990-07-23,1990.04,1007.97,3549.3,1938.04,1944.5,475,2670.2,7.83,11.96,8.44
1990-07-24,1995.61,1008.12,3547.7,1921.16,1954.81,475,2628.3,7.89,11.93,8.54
1990-07-25,1998.58,1033.15,3554.5,1920.25,1957.11,475,2656.1,7.85,12.21,8.52
1990-07-26,1984.37,1033.15,3543.5,1932.89,1965.42,477,2703.3,7.89,12.22,8.52
1990-07-27,1965.79,1033.15,3542,1919.81,1953.96,477,2776,7.8,12.22,8.5
1990-07-30,1955.35,1033.15,3540.8,1911.69,1962.35,476,2785.3,7.75,12.24,8.5
1990-07-31,1965.57,1033.15,3561.2,1919.12,1979.47,476,2776.1,7.7,12.27,8.5
1990-08-01,1960.07,1033.15,3569.2,1892.89,2005.47,476,2773.3,7.62,12.33,8.6
1990-08-02,1918.45,1033.15,3547,1869.38,2064.4,484,2843.3,7.68,12.29,8.72
1990-08-03,1869.45,1033.15,3517,1840.94,2112.48,484,2797,7.57,12.46,8.78
1990-08-06,1773.79,1061.66,3517,1740.93,2279.23,484,2773.3,7.6,12.45,8.88
1990-08-07,1811.84,1043.54,3470.7,1770.3,2287.96,484,2824.3,7.67,12.7,8.85
1990-08-08,1757.09,1010.01,3476.1,1723.63,2184.13,484,2814.1,7.71,12.59,8.88
1990-08-09,1779.86,1025.83,3477,1755.63,2179.16,478,2923,7.69,12.6,8.84
1990-08-10,1779.83,1046.25,3476.7,1749.34,2216.09,478,2884.3,7.65,12.55,8.82
1990-08-13,1721.01,1092.55,3478.6,1706.05,2214.72,483,2862.7,7.65,12.54,8.86
1990-08-14,1712.03,1092.55,3497.6,1715.05,2237.63,483,2837.7,7.68,12.65,8.83
1990-08-15,1712.03,1092.55,3508.1,1742.2,2246.42,483,2839.6,7.69,12.63,8.8
1990-08-16,1723.41,1088.08,3510,1727.42,2288.14,497,2904.1,7.84,12.72,8.81
1990-08-17,1665,1080.96,3492,1665.88,2335.69,497,2888.6,7.8,12.76,8.85
1990-08-20,1611.92,1096.93,3487.7,1635.69,2383.71,503,2875.7,7.88,12.76,8.93
1990-08-21,1546.51,1134.03,3457.7,1549.96,2421.31,503,2873.8,7.88,12.72,8.97
1990-08-22,1586.27,1157.78,3431.3,1575.1,2525.67,503,2872.3,7.95,12.73,8.93
1990-08-23,1553.35,1151.27,3359.3,1520.34,2589.67,498,2816.8,7.99,12.9,8.98
1990-08-24,1617.42,1151.27,3361.3,1559.04,2524.81,498,2869.3,8.07,12.97,9.01
1990-08-27,1699.72,1217.67,3358.3,1654.8,2385.48,498,2869.3,7.89,12.96,8.98
1990-08-28,1680.58,1207.87,3354.3,1617.89,2347.47,498,2891.2,7.91,12.94,8.95
1990-08-29,1698.66,1197.2,3339.8,1637.66,2243.47,498,2828,7.84,12.92,8.94
1990-08-30,1723.23,1247.53,3329.9,1638.95,2286.63,484,2868.2,7.8,13.05,8.94
1990-08-31,1690.17,1247.53,3346.3,1629.51,2307.85,484,2856.6,7.76,13.07,8.94
1990-09-03,1644.01,1260.77,3346.3,1629.22,2307.85,485,2857.6,7.76,13.12,8.96
1990-09-04,1620.93,1201.93,3333.3,1590.07,2422.1,485,2834,7.78,13.12,9.02
1990-09-05,1638.32,1200.76,3333.2,1564.27,2435.67,485,2820.5,7.73,13.06,8.99
1990-09-06,1609.51,1229.83,3312.9,1557.12,2513.42,485,2830.4,7.73,12.99,8.98
1990-09-07,1619.16,1255.72,3287.1,1562.48,2455.24,485,2866.5,7.73,12.97,9
1990-09-10,1661.76,1282.87,3287.7,1600.45,2502.88,479,2941.8,7.77,12.89,8.94
1990-09-11,1653.94,1321.82,3272.3,1577.42,2477.4,479,2940.9,7.75,12.88,8.95
1990-09-12,1648.09,1286.25,3271.8,1598.34,2480.74,479,2941.4,7.74,12.82,8.96
1990-09-13,1646.27,1286.25,3264.4,1582.95,2481.85,454,2958.4,7.69,12.77,8.98
1990-09-14,1614.93,1228.19,3253.7,1554.07,2487.34,454,2911.7,7.71,12.82,9.03
1990-09-17,1604.02,1228.19,3262.1,1541.15,2538.07,456,2930.3,7.73,12.79,9.04
1990-09-18,1579.93,1314.56,3266.7,1507.27,2551.83,456,2836,7.74,12.82,9.03
1990-09-19,1570.28,1332.04,3275.6,1487.54,2559.37,456,2746.1,7.76,12.86,9.02
1990-09-20,1540.6,1331.73,3256.4,1457.51,2590.39,460,2792.3,7.77,12.83,9.02
1990-09-21,1543.53,1389.04,3235.4,1446.57,2666.17,460,2726.7,7.76,12.75,9.04
1990-09-24,1502.8,1389.04,3227.2,1416.05,2764.09,456,2704.7,7.83,12.64,9.1
1990-09-25,1485.39,1466.11,3206.1,1353.4,2765.91,456,2649.8,7.87,12.79,9.11
1990-09-26,1499.17,1404.15,3181.5,1381.99,2799.52,456,2686.7,7.83,12.78,9.11
1990-09-27,1523.95,1420.08,3161.5,1354.08,2839.01,452,2719.6,7.72,12.8,9.11
1990-09-28,1491.76,1420.08,3159.4,1334.89,2837.27,452,2723.1,7.66,12.8,9.13
1990-10-01,1534.44,1420.08,3175.7,1420.73,2735.24,435,2657.8,7.62,12.7,9.07
1990-10-02,1572.94,1420.08,3191.4,1444.89,2600.38,435,2666.4,7.6,12.74,9.04
1990-10-03,1567.48,1420.08,3179.6,1444.89,2745.48,435,2659.1,7.59,12.75,9.04
1990-10-04,1552.74,1426.9,3176,1422.66,2726.62,445,2722.2,7.53,12.74,9.06
1990-10-05,1551.93,1426.9,3166.9,1392.41,2773.66,445,2722.2,7.5,12.74,9.09
1990-10-08,1586.16,1426.9,3166.9,1456.21,2803.15,445,2720.2,7.5,12.76,9.05
1990-10-09,1551.46,1559.43,3139.6,1441.06,2864.4,445,2701.4,7.59,12.85,9.09
1990-10-10,1540.12,1559.43,3109.9,1407.07,2781.96,445,2668.7,7.65,13.09,9.13
1990-10-11,1541.76,1472.38,3055.3,1428.29,2833.31,443,2676.5,7.61,13.13,9.12
1990-10-12,1575.7,1402.73,3048,1459.7,2822.9,443,2607.3,7.56,13.12,9.1
1990-10-15,1598.91,1280.18,3032.9,1478.89,2755.58,417,2564.5,7.56,13.05,9.08
1990-10-16,1601.92,1280.18,3010,1460.72,2789.72,417,2604.3,7.56,13.2,9.08
1990-10-17,1616,1280.18,3023.4,1440.79,2782.75,417,2518.6,7.59,13.18,9.05
1990-10-18,1647.67,1311.32,3060.1,1470.07,2696.31,393,2560.8,7.58,13.29,8.99
1990-10-19,1644.7,1311.32,3086.7,1482.09,2608.23,393,2579.1,7.52,13.17,8.97
1990-10-22,1639.95,1223.4,3115.5,1474.51,2486.66,403,2602.1,7.52,13.17,8.97
1990-10-23,1676.17,1223.4,3123.1,1514.34,2436.64,403,2621.5,7.53,12.87,8.99
1990-10-24,1667.24,1223.4,3122.6,1493.82,2521.44,403,2679.8,7.51,12.77,8.99
1990-10-25,1645.99,1299.17,3129.9,1497.58,2627.29,427,2632.6,7.46,12.84,8.99
1990-10-26,1618.58,1269.46,3086.6,1457.05,2591.25,427,2660.9,7.43,12.73,8.99
1990-10-29,1627.9,1269.46,3083.4,1454.49,2639.32,419,2608.3,7.47,12.72,8.97
1990-10-30,1613.59,1269.46,3083.9,1433.17,2640.82,419,2566.1,7.46,12.85,9.01
1990-10-31,1645.57,1295.21,3081.3,1433.82,2665.57,419,2594.9,7.39,12.85,9
1990-11-01,1645.57,1323.07,3085.1,1417.26,2673.35,436,2562.4,7.31,12.87,8.97
1990-11-02,1634.8,1323.07,3085.5,1414.32,2622.06,436,2543.6,7.34,12.93,8.98
1990-11-05,1620.57,1331.75,3095.3,1415.38,2551.31,429,2608.5,7.31,13,9
1990-11-06,1613.49,1331.75,3094.7,1398.24,2586.18,429,2571.3,7.36,13.4,9.02
1990-11-07,1583.46,1381.17,3071.2,1371.15,2692.98,429,2584,7.33,13.18,9.03
1990-11-08,1569.86,1412.17,3060.6,1369.44,2701.81,427,2566.5,7.34,13.19,9.07
1990-11-09,1572.83,1392.53,3077.5,1381.49,2635.52,427,2560.4,7.31,13.12,9.07
1990-11-12,1597.34,1293.5,3120,1402.24,2566.3,417,2552.4,7.36,13.01,9.04
1990-11-13,1610.13,1293.5,3135.1,1402.91,2597.68,417,2566.3,7.3,12.98,8.97
1990-11-14,1599.13,1308.1,3127.7,1406.23,2538.53,417,2558.6,7.3,12.9,9
1990-11-15,1598.02,1308.1,3114.6,1421.19,2531.92,418,2564.6,7.3,13.03,9
1990-11-16,1612.1,1320.74,3128.6,1425.68,2491.7,418,2601.6,7.28,13.06,8.93
1990-11-19,1633.65,1320.74,3133,1467.47,2539.65,419,2587.4,7.33,13.01,8.89
1990-11-20,1633.15,1320.74,3107.3,1467.3,2458.15,419,2555.3,7.33,13.06,8.83
1990-11-21,1626.97,1265.19,3103.2,1467.3,2491.36,419,2564.5,7.24,12.98,8.83
1990-11-22,1639.68,1241.95,3103.9,1496.1,2491.36,414,2551.4,7.24,12.89,8.79
1990-11-23,1640.06,1304.55,3118.5,1483.36,2584.16,414,2545.7,7.24,12.72,8.79
1990-11-26,1607.24,1327.57,3127.6,1443.16,2634.69,419,2539.8,7.25,12.78,8.81
1990-11-27,1605.92,1284.35,3140.1,1415.26,2626.73,419,2554.6,7.26,12.76,8.82
1990-11-28,1601.25,1284.35,3144.7,1420.62,2633.12,419,2475.6,7.34,12.76,8.84
1990-11-29,1607.06,1208.56,3139,1418.92,2621.3,425,2466.2,7.35,12.71,8.86
1990-11-30,1605.12,1196.25,3151.1,1441.23,2490.6,425,2489.5,7.35,12.67,8.82
1990-12-03,1644.87,1203.9,3162.2,1462.58,2449.49,426,2464.5,7.3,12.64,8.79
1990-12-04,1646.53,1163.29,3189.8,1446.34,2502.15,426,2473,7.23,12.38,8.87
1990-12-05,1660.44,1173.77,3226.6,1470.96,2364.21,426,2437,7.23,12.39,8.88
1990-12-06,1693.52,1179.41,3239.4,1504.67,2327.35,424,2490.2,7.26,12.38,8.83
1990-12-07,1690.71,1179.41,3233.6,1512.84,2334.23,424,2516.4,7.11,12.42,8.79
1990-12-10,1675.01,1214.45,3236.9,1504.8,2368.19,426,2459.7,7.09,12.4,8.79
1990-12-11,1665.54,1196.35,3239.3,1492.68,2336.69,426,2452.5,7.05,12.22,8.71
1990-12-12,1667.85,1215.2,3252.6,1517.24,2283.57,426,2476.8,7.01,12.38,8.7
1990-12-13,1659.4,1234.96,3252.6,1517.8,2307.17,423,2485.6,7.1,12.41,8.63
1990-12-14,1635.52,1242.84,3244.3,1522.4,2320,423,2469.5,7.09,12.36,8.66
1990-12-17,1606.23,1188.54,3233,1475.87,2334.58,416,2447.6,7.05,12.35,8.72
1990-12-18,1591.65,1111.73,3237.5,1477.41,2357.6,416,2495.8,6.87,12.4,8.74
1990-12-19,1589.32,1058.41,3253.8,1457.24,2369.7,416,2469.1,6.89,12.27,8.71
1990-12-20,1552.72,1058.41,3255.5,1409.26,2353.99,415,2451.7,6.89,12.27,8.87
1990-12-21,1563.97,1034.97,3243.8,1414.88,2341.21,415,2454.4,6.95,12.28,8.95
1990-12-24,1563.97,1048.29,3239.2,1414.88,2343.1,422,2454.4,6.99,12.31,8.95
1990-12-25,1563.97,1048.29,3239.2,1414.88,2343.1,422,2454.4,6.99,12.31,8.95
1990-12-26,1563.97,1048.29,3239.2,1414.88,2398.03,422,2454.4,6.92,12.31,8.95
1990-12-27,1528.9,1048.29,3233.7,1410.87,2390.24,422,2525.3,6.92,12.28,8.98
1990-12-28,1517.93,1048.29,3237.5,1398.23,2409.95,422,2535.9,6.9,12.26,8.99
1990-12-31,1505.1,1048.29,3256.8,1398.23,2441.68,412,2535.9,6.86,12.26,8.99
1991-01-01,1505.1,1048.29,3256.8,1398.23,2441.68,412,2535.9,6.86,12.26,8.99
1991-01-02,1505.1,999.26,3239.4,1366.1,2346.03,412,2595,6.86,12.26,8.99
1991-01-03,1539.5,982.35,3221.8,1366.65,2298.35,412,2600,6.7,12.24,8.94
1991-01-04,1547.66,982.35,3216.6,1396.07,2272.78,412,2558.9,6.81,12.22,8.94
1991-01-07,1507.87,1010.77,3201.1,1358.16,2419.69,414,2582.7,6.82,12.27,9
1991-01-08,1502.77,1010.77,3182.5,1353.95,2385.94,414,2574.1,6.74,12.31,8.98
1991-01-09,1552.19,1008.52,3169.7,1375.16,2421.63,414,2562.7,6.63,12.33,8.98
1991-01-10,1507.09,1008.52,3196.9,1383.4,2427.36,412,2504,6.63,12.36,8.96
1991-01-11,1494.94,1034.3,3183.6,1382.26,2407.8,412,2534.8,6.61,12.35,8.95
1991-01-14,1441.17,1017.72,3167.6,1331.25,2567.75,417,2485.1,6.6,12.34,8.97
1991-01-15,1457.27,1017.72,3162,1325.62,2512.13,417,2450.4,6.59,12.35,8.97
1991-01-16,1457.77,1017.72,3164.5,1322.68,2591.45,417,2365.8,6.6,12.35,9
1991-01-17,1560.47,1017.72,3201.7,1414.58,2155.22,421,2444.4,6.66,12.35,8.85
1991-01-18,1560.27,1017.72,3210.5,1405.06,2096.34,421,2430.9,6.6,12.05,8.87
1991-01-21,1553.57,1017.72,3205.3,1390.2,2145.92,416,2406.3,6.6,12.11,8.86
1991-01-22,1548.64,1017.72,3196.8,1375.12,2209.5,416,2344.5,6.56,12.08,8.87
1991-01-23,1522.39,1001.38,3190.6,1358.76,2215.18,416,2351.7,6.56,12.04,8.86
