Dates,HIS(Eq),UKX(Eq),SPX(Eq),INDU(Eq),CL1(Cm),CO1(Cm),XAU(Cm),USGG10YR(B),GCAN10YR(B),USGG6M(B)
1990-01-01,2836.57,2422.7,353.4,2753.2,21.82,20.28,401.25,7.94,9.56,7.86
1990-01-02,2838.07,2434.1,359.69,2810.15,22.89,20.51,399,7.93,9.63,7.89
1990-01-03,2858.72,2463.7,358.76,2809.73,23.68,21.69,395,7.97,9.69,7.92
1990-01-04,2867.95,2451.6,355.67,2796.08,23.41,21.51,396.5,7.97,9.68,7.89
1990-01-05,2839.94,2444.5,352.2,2773.25,23.08,22,405,7.98,9.75,7.84
1990-01-08,2816.24,2431.3,353.79,2794.37,21.62,20.52,404.6,8.01,9.82,7.86
1990-01-09,2822.16,2436.3,349.62,2766,22.07,20.14,403.45,8.01,9.83,7.8
1990-01-10,2868,2412.7,347.31,2750.64,22.9,19.88,409.1,8.01,9.78,7.78
1990-01-11,2855.52,2417.9,348.53,2760.67,23.14,20.27,412.1,8.04,9.82,7.79
1990-01-12,2835.94,2380,339.93,2689.21,23.13,20.05,416.25,8.1,9.85,7.78
1990-01-15,2786.69,2366.2,337,2669.37,22.36,19.53,415.6,8.11,9.8,7.78
1990-01-16,2751.79,2349.1,340.75,2692.62,22.78,19.58,412.75,8.2,9.84,7.81
1990-01-17,2754.84,2373.9,337.4,2659.13,22.1,19.2,410.4,8.19,9.82,7.94
1990-01-18,2771.67,2336.9,338.19,2666.38,22.76,19.47,413.4,8.3,9.91,8.08
1990-01-19,2776.29,2335,339.15,2677.9,23.67,19.92,408.65,8.23,9.87,8.01
1990-01-22,2771.65,2297.1,330.38,2600.45,22.55,19.66,406,8.27,9.87,7.97
1990-01-23,2762.45,2291.1,331.61,2615.32,21.6,19.21,408.25,8.35,9.9,7.99
1990-01-24,2756.39,2278.6,330.26,2604.5,21.59,19.29,420.75,8.37,9.93,7.98
1990-01-25,2768.86,2289.9,326.08,2561.04,22.24,19.73,415.65,8.41,9.95,8.01
1990-01-26,2768.86,2314.5,325.8,2559.23,22.56,19.86,418,8.46,9.98,8.07
1990-01-29,2768.86,2328.8,325.2,2553.38,22.8,20.05,418.75,8.54,10.04,8.11
1990-01-30,2760.8,2322,322.98,2543.24,22.46,19.87,418.15,8.5,10.02,8.14
1990-01-31,2751.6,2337.3,329.08,2590.54,22.68,20.06,415.05,8.42,9.94,8.12
1990-02-01,2738.24,2345.8,328.79,2586.26,22.7,19.93,415.8,8.41,9.95,8.12
1990-02-02,2736.55,2355.1,330.92,2602.7,23.02,20.19,417.95,8.49,9.98,8.15
1990-02-05,2756.67,2348.4,331.85,2622.52,22.39,19.78,423,8.52,10.02,8.19
1990-02-06,2792.89,2321.1,329.66,2606.31,22.51,19.88,421.05,8.58,10.07,8.15
1990-02-07,2844.89,2307.4,333.75,2640.09,22.32,19.69,423.75,8.54,10.09,8.18
1990-02-08,2903.77,2331,332.96,2644.37,22.09,19.48,418,8.43,10.04,8.17
1990-02-09,2893.9,2313.6,333.62,2648.2,21.74,19.6,415.5,8.29,10.05,8.08
1990-02-12,2894.66,2285.9,330.08,2619.14,22.03,19.33,418.85,8.39,10.21,8.09
1990-02-13,2863.55,2293.2,331.02,2624.1,21.9,19.4,418.05,8.32,10.19,7.95
1990-02-14,2870.43,2298.3,332.01,2624.32,22.07,19.49,414.6,8.37,10.26,8
1990-02-15,2910.04,2313.8,334.89,2649.55,22.84,19.84,416.65,8.41,10.45,8.07
1990-02-16,2939.25,2325.9,332.72,2635.59,22.42,19.71,416.5,8.41,10.38,8.04
1990-02-19,2968,2297.1,332.72,2635.59,22.42,19.58,416.5,8.48,10.47,8.06
1990-02-20,2980.9,2277,327.99,2596.85,22.19,19.59,419.95,8.63,10.64,8.17
1990-02-21,2862.27,2259.7,327.67,2583.56,21.74,19.39,420,8.6,10.53,8.16
1990-02-22,2927.92,2269.2,325.7,2574.77,21.75,19.3,417.65,8.54,10.5,8.13
1990-02-23,2894.31,2236.7,324.15,2564.19,21.42,19.19,415.85,8.54,10.5,8.09
1990-02-26,2872.63,2249.3,328.67,2602.48,21.79,19.58,411.3,8.46,10.5,8.05
1990-02-27,2932.62,2254.8,330.26,2617.12,21.58,19.41,407.55,8.41,10.56,8.1
1990-02-28,2951.98,2255.4,331.89,2627.25,21.54,19.48,407.7,8.52,10.64,8.14
1990-03-01,2933.13,2238.4,332.74,2635.59,21.17,19.24,406.3,8.58,10.67,8.18
1990-03-02,2937.93,2254.8,335.54,2660.36,21.35,19.28,405.05,8.55,10.64,8.19
1990-03-05,2938.68,2230.5,333.74,2649.55,21.58,19.43,403.2,8.63,10.71,8.25
1990-03-06,2933.23,2216,337.93,2676.8,19.33,19.33,405.35,8.56,10.69,8.22
1990-03-07,2926.45,2230.3,336.95,2669.59,20.93,19.13,400.5,8.58,10.79,8.22
1990-03-08,2915.73,2249.9,340.27,2696.17,20.78,18.86,400.7,8.55,10.72,8.23
1990-03-09,2912.67,2234.3,337.93,2683.33,20.43,18.88,399.3,8.63,10.8,8.3
1990-03-12,2892.98,2222.4,338.67,2686.71,20.24,18.62,401.25,8.63,10.91,8.3
1990-03-13,2887.62,2224.5,336,2674.55,20.22,18.6,397.25,8.71,11,8.33
1990-03-14,2881.23,2226.1,336.87,2687.84,20.05,18.52,398.75,8.63,10.91,8.29
1990-03-15,2892.81,2234.9,338.07,2695.72,20.38,18.74,399.5,8.65,10.92,8.31
1990-03-16,2886.46,2263.9,341.91,2741.22,20.07,18.56,400.65,8.57,10.88,8.26
1990-03-19,2871.39,2238,343.53,2755.63,19.6,18.2,402.1,8.58,10.89,8.34
1990-03-20,2880.03,2259.7,341.57,2738.74,19.28,18.05,399.65,8.53,10.72,8.34
1990-03-21,2926.92,2250.3,339.74,2727.93,19.96,18.17,392,8.56,10.78,8.35
1990-03-22,2948.67,2258.9,335.69,2695.72,20,18.16,392,8.53,10.76,8.26
1990-03-23,2974.16,2283.9,337.22,2704.28,20.39,18.4,393.5,8.52,10.75,8.25
1990-03-26,3014.02,2298.2,337.63,2707.66,20.46,18.46,370.25,8.5,10.74,8.26
1990-03-27,3010.85,2266.3,341.5,2736.94,20.48,18.46,368,8.51,10.83,8.29
1990-03-28,2990.7,2274,342,2743.69,20.08,18.32,372,8.5,10.89,8.24
1990-03-29,3000.52,2263,340.79,2727.7,20.05,18.33,371.5,8.61,11.08,8.26
1990-03-30,2997.98,2247.9,339.94,2707.21,20.28,18.38,368.5,8.63,11.14,8.22
1990-04-02,2934.7,2221.6,338.7,2700.45,20.48,18.62,368.4,8.64,11.19,8.22
1990-04-03,2962.45,2240.7,343.64,2736.71,20.3,18.48,375,8.63,11.16,8.25
1990-04-04,2960.88,2231.6,341.09,2719.37,19.78,18.09,374.25,8.55,11.17,8.15
1990-04-05,2960.88,2239.5,340.73,2721.17,19.43,17.65,378.4,8.56,11.29,8.17
1990-04-06,2956.12,2221.1,340.08,2717.12,19.15,17.43,377.7,8.55,11.44,8.15
1990-04-09,2954.74,2227.7,341.37,2722.07,18.44,16.79,376.7,8.59,11.54,8.21
1990-04-10,2942.33,2217.5,342.07,2731.08,17.68,16.35,375.2,8.62,11.59,8.22
1990-04-11,2959.98,2215.5,341.92,2729.73,18.06,16.84,374.5,8.61,11.49,8.17
1990-04-12,2995.69,2222.1,344.34,2751.8,17.78,16.82,375.5,8.63,11.44,8.19
1990-04-13,2995.69,2222.1,344.34,2751.8,17.78,16.82,375.5,8.61,11.44,8.19
1990-04-16,2995.69,2222.1,344.74,2763.06,17.85,16.82,375.5,8.67,11.53,8.17
1990-04-17,3020.44,2214.5,344.68,2765.77,17.44,16.7,374,8.74,11.77,8.22
1990-04-18,3052.35,2205.9,340.72,2732.88,16.96,16.4,374.75,8.85,11.9,8.29
1990-04-19,3067.67,2184.7,338.09,2711.94,18.06,17.01,375.75,8.86,11.91,8.26
1990-04-20,3067.3,2187.1,335.12,2695.95,17.95,17.21,376,8.95,11.78,8.24
1990-04-23,3056.86,2159.2,331.05,2666.67,19.07,17.55,375.25,8.98,11.71,8.3
1990-04-24,3015.84,2159.9,330.36,2654.5,19,17.48,376.8,8.98,11.67,8.35
1990-04-25,3018.58,2143.2,332.03,2666.44,18.66,17.21,371.45,8.99,11.55,8.4
1990-04-26,3009.34,2133.6,332.92,2676.58,18.47,17.09,371.6,9.06,11.54,8.46
1990-04-27,2986.33,2106.6,329.11,2645.05,18.54,17.08,371.6,9.04,11.6,8.36
1990-04-30,2950.09,2103.4,330.8,2656.76,18.54,17.12,367.75,9.02,11.6,8.39
1990-05-01,2945.18,2117.9,332.25,2668.92,18.88,17.25,369.5,9.06,11.69,8.49
1990-05-02,2957.76,2137.5,334.48,2689.64,18.68,17.19,369.6,9.06,11.74,8.47
1990-05-03,2954.61,2134.7,335.57,2696.17,17.99,16.54,369.9,9.01,11.67,8.41
1990-05-04,2946.97,2162.1,338.39,2710.36,17.98,16.33,371.3,8.84,11.42,8.23
1990-05-07,2958.91,2162.1,340.53,2721.62,18.27,16.33,371.3,8.86,11.11,8.23
1990-05-08,2953.58,2182.3,342.01,2733.56,18.28,16.7,370.65,8.85,11.22,8.22
1990-05-09,2942.27,2162.7,342.86,2732.88,18.99,17.33,370.3,8.88,11.27,8.18
1990-05-10,2985.42,2157,343.82,2738.51,19.02,17.22,371.75,8.82,11.05,8.15
1990-05-11,2960.46,2175.9,352,2801.58,18.95,17.6,368.55,8.65,10.92,8.06
1990-05-14,2976.44,2214.5,354.75,2821.53,19.71,18.1,369,8.61,10.91,8.06
1990-05-15,2965.09,2212.2,354.28,2822.45,19.59,17.91,367.75,8.64,10.91,8.07
1990-05-16,2948.89,2221.1,354,2819.68,19.03,17.76,369.85,8.67,10.89,8.07
1990-05-17,2917.63,2284.4,354.47,2831.71,18.87,17.77,369.2,8.69,10.88,8.1
1990-05-18,2925.89,2269.2,354.64,2819.91,18.76,17.69,369.9,8.74,10.86,8.15
1990-05-21,2930.83,2282,358,2844.68,18.26,17.41,373.1,8.73,10.86,8.13
1990-05-22,2970.87,2311.3,358.43,2852.23,17.68,17.23,375.1,8.65,11.33,8.17
1990-05-23,3028.31,2287.4,359.29,2856.26,18.14,16.75,364.5,8.59,11.22,8.11
1990-05-24,3048.01,2277,358.41,2855.55,17.83,16.61,366.5,8.64,11.2,8.11
1990-05-25,3059.5,2265.6,354.58,2820.92,17.8,16.52,366.5,8.69,11.25,8.18
1990-05-28,3059.5,2265.6,354.58,2820.92,17.8,16.52,366.5,8.7,11.11,8.18
1990-05-29,3048.55,2295.6,360.65,2870.49,17.98,16.65,367.7,8.64,11.12,8.16
1990-05-30,3083.35,2346,360.86,2878.56,18.08,16.75,366.4,8.61,10.87,8.08
1990-05-31,3132.32,2345.2,361.23,2876.66,17.4,16.24,363.05,8.6,10.81,8.16
1990-06-01,3159.17,2371.3,363.16,2900.97,17.5,16.37,363.45,8.45,10.77,8.01
1990-06-04,3153.22,2379,367.4,2935.19,17.14,16.1,357.05,8.44,10.67,8.02
1990-06-05,3159.06,2380.1,366.64,2925,16.68,15.76,358.1,8.46,10.79,8.02
1990-06-06,3172.49,2358.5,364.96,2911.65,16.92,15.61,359.5,8.46,10.66,8.01
1990-06-07,3145.3,2378.4,363.15,2897.33,16.67,15.61,352.8,8.45,10.52,8.01
1990-06-08,3174.33,2366.4,358.71,2862.38,16.78,15.65,353.5,8.47,10.58,8.02
1990-06-11,3154.99,2348.9,361.63,2892.57,16.82,15.55,354.7,8.48,10.59,8.04
1990-06-12,3203,2370.8,366.25,2933.42,17.51,16.5,355.75,8.48,10.71,8.04
1990-06-13,3185.14,2405.3,364.9,2929.7,17.58,16.49,350.5,8.4,10.63,7.98
1990-06-14,3191.55,2403,362.9,2928.22,17.13,16.32,345.85,8.36,10.6,7.97
1990-06-15,3201.52,2392.3,362.91,2935.89,16.62,16.11,346.9,8.45,10.69,8.02
1990-06-18,3201.52,2370.5,356.88,2882.18,15.94,15.67,349.25,8.49,10.85,8.05
1990-06-19,3229.02,2369.7,358.47,2893.56,15.65,15.63,348.65,8.5,10.93,8.06
1990-06-20,3234.39,2371.4,359.1,2895.3,15.3,15.61,346.9,8.54,10.86,8.06
1990-06-21,3246.21,2370.3,360.47,2901.73,16.94,15.83,349.75,8.51,10.87,8.05
1990-06-22,3250.44,2378.5,355.43,2857.18,17.46,16.17,348.4,8.5,10.87,8.04
1990-06-25,3276.44,2398.5,352.31,2845.05,17.38,16.2,353.4,8.59,10.92,8.1
1990-06-26,3292.35,2399.8,352.06,2842.33,17.14,16.02,349.35,8.53,10.74,8.11
1990-06-27,3284.47,2373.6,355.14,2862.13,16.68,15.71,350.65,8.5,10.64,8.08
1990-06-28,3273.28,2355.7,357.63,2878.71,17.15,16.21,352.3,8.45,10.67,8.03
1990-06-29,3278.24,2374.7,358.02,2880.69,17.07,16.14,352.2,8.41,10.69,8
1990-07-02,3319.47,2372,359.54,2899.26,16.72,15.87,357.4,8.41,10.69,8.01
1990-07-03,3356.55,2371.7,360.16,2911.63,16.8,15.97,362,8.39,10.68,8
1990-07-04,3363.49,2355.5,360.16,2911.63,16.8,15.98,362.5,8.38,10.64,7.99
1990-07-05,3356.44,2331.4,355.68,2879.21,16.5,15.89,359.7,8.4,10.56,7.98
1990-07-06,3357.61,2340,358.42,2904.95,16.47,15.86,361.15,8.51,10.61,8.08
1990-07-09,3385.15,2337.6,359.52,2914.11,16.58,15.9,360.25,8.56,10.75,8.13
1990-07-10,3408.16,2327.6,356.49,2890.84,16.94,16.07,354,8.57,10.78,8.15
1990-07-11,3440.93,2360.5,361.23,2932.67,17.47,16.81,354.3,8.57,10.75,8.14
1990-07-12,3468.59,2370.5,365.44,2969.8,18.46,17.72,351.45,8.49,10.73,7.96
1990-07-13,3507.16,2382.2,367.31,2980.2,18.36,17.82,363.6,8.44,10.72,7.89
1990-07-16,3488.85,2406.5,368.95,2999.75,18.67,18.42,363.25,8.44,10.72,7.89
1990-07-17,3463.94,2415,367.52,2999.75,18.65,18.19,360.7,8.44,10.69,7.89
1990-07-18,3528.29,2402,364.22,2981.68,18.55,18.36,359.4,8.5,10.71,7.87
1990-07-19,3523.58,2387.3,365.32,2993.81,18.99,18.59,362.3,8.49,10.69,7.84
1990-07-20,3540.43,2400,361.61,2961.14,19.61,18.73,361,8.47,10.64,7.84
1990-07-23,3559.89,2359.7,355.31,2904.7,20.5,19.22,366.1,8.49,10.68,7.77
1990-07-24,3495.87,2360.9,355.79,2922.52,20.56,19.42,368.7,8.53,10.68,7.83
1990-07-25,3520.54,2364.7,357.09,2930.94,20.38,19.18,372.75,8.48,10.66,7.84
1990-07-26,3483.59,2344.1,355.91,2920.79,20.3,19.26,368.75,8.48,10.62,7.86
1990-07-27,3485.8,2330.1,353.44,2898.51,20.04,19.22,366.75,8.42,10.59,7.79
1990-07-30,3445.41,2316.5,355.55,2917.33,20.21,19.5,367.3,8.34,10.57,7.75
1990-07-31,3438.49,2326.2,356.15,2905.2,20.69,19.84,372.3,8.34,10.47,7.7
1990-08-01,3468.64,2339.1,355.52,2899.26,21.54,20.8,370.65,8.28,10.36,7.61
1990-08-02,3415.18,2304.7,351.48,2864.6,23.11,21.95,380.7,8.38,10.5,7.68
1990-08-03,3356.95,2284.6,344.86,2809.65,24.49,23.48,379,8.44,10.49,7.57
1990-08-06,3107.98,2220.1,334.43,2716.34,28.05,26.78,382.25,8.68,10.49,7.58
1990-08-07,3098.69,2235.8,334.83,2710.64,28.31,27.4,383.25,8.71,10.78,7.68
1990-08-08,3145.57,2237.5,338.35,2734.9,25.96,24.98,384.75,8.74,10.77,7.68
1990-08-09,3091.12,2244.6,339.94,2758.91,25.67,24.75,383.6,8.65,10.58,7.66
1990-08-10,3078.97,2233.8,335.52,2716.58,26.23,25.47,389.35,8.66,10.63,7.67
1990-08-13,3040.28,2219.6,338.84,2746.78,26.77,25.16,404.3,8.69,10.64,7.68
1990-08-14,3067.53,2234,339.39,2747.77,26.42,25.24,411.5,8.66,10.59,7.71
1990-08-15,3178.27,2239.3,340.06,2748.27,26.46,25.25,398.4,8.64,10.58,7.73
1990-08-16,3183.29,2222.2,332.39,2681.44,27.36,26,402.6,8.78,10.71,7.86
1990-08-17,3122.64,2177.1,327.83,2644.8,28.63,27.12,410.6,8.79,10.71,7.79
1990-08-20,3052.84,2156.6,328.51,2656.44,28.56,27.38,407.75,8.81,10.76,7.89
1990-08-21,3040,2107.8,321.86,2603.96,28.41,27.63,413.8,8.83,10.8,7.87
1990-08-22,2954.93,2104.9,316.55,2560.15,31.22,30.19,408.75,8.95,10.89,7.92
1990-08-23,2871.41,2075.1,307.06,2483.42,31.93,30.85,412.4,9.01,11.02,7.9
1990-08-24,2918.01,2086.4,311.51,2532.92,30.91,30.1,410.3,9.04,11.02,7.86
1990-08-27,2918.01,2086.4,321.44,2611.63,26.91,30.1,410.3,8.87,10.8,7.87
1990-08-28,3078.94,2126.1,321.34,2614.85,27.88,26.68,388.25,8.92,10.8,7.87
1990-08-29,3015.95,2125.7,324.19,2632.43,25.92,24.8,384.3,8.81,10.72,7.83
1990-08-30,3064.19,2153.6,318.71,2593.32,26.77,25.9,389.75,8.84,10.73,7.79
1990-08-31,3087.5,2162.8,322.56,2614.36,27.32,26.75,387.75,8.85,10.73,7.74
1990-09-03,3066.81,2166.7,322.56,2614.36,27.32,28.54,386.75,8.87,10.73,7.74
1990-09-04,3054.16,2147.9,323.09,2613.37,29.12,29.2,381.4,8.89,10.77,7.77
1990-09-05,3039.69,2152,324.39,2628.22,29.77,29.89,383.3,8.83,10.77,7.69
1990-09-06,3032.85,2120.9,320.46,2596.29,31.43,30.93,387.5,8.82,10.77,7.7
1990-09-07,3047.91,2123,323.4,2619.55,30.04,30.25,384.6,8.79,10.79,7.71
1990-09-10,3087.74,2147,321.63,2615.59,31.3,29.1,384.5,8.83,10.79,7.76
1990-09-11,3083.57,2144.3,321.04,2612.62,30.76,28.5,378.5,8.79,10.76,7.72
1990-09-12,3105.04,2142.3,322.54,2625.74,30.97,28.76,382.05,8.8,10.76,7.69
1990-09-13,3093.97,2127.1,318.65,2582.67,31.07,29.65,382.2,8.82,10.74,7.63
1990-09-14,3062.04,2093.8,316.83,2564.11,31.76,30.72,386.2,8.87,10.79,7.64
1990-09-17,3019.87,2094.2,317.77,2567.33,33.63,33,389.4,8.9,10.93,7.65
1990-09-18,2996.66,2064,318.6,2571.29,33.41,32.65,386,8.9,10.99,7.66
1990-09-19,2980.95,2065.8,316.6,2557.43,33.18,33,386.5,8.87,10.98,7.69
1990-09-20,2984.54,2016.9,311.48,2518.32,34.71,33.15,386.95,8.9,10.99,7.7
1990-09-21,2931.86,2025.4,311.32,2512.38,35.43,34.76,386.95,8.98,11.12,7.72
1990-09-24,2861.77,1990.3,304.59,2452.97,38.25,37.68,392.5,9.03,11.43,7.75
1990-09-25,2807.5,1999.3,308.26,2485.64,37.53,37.1,403.75,8.99,11.44,7.78
1990-09-26,2778.74,2000,305.06,2459.65,38.67,37.95,402.7,8.98,11.4,7.72
1990-09-27,2767.95,2009,300.97,2427.48,39.54,38.47,403.95,8.87,11.26,7.59
1990-09-28,2760.82,1990.3,306.05,2452.48,39.51,39.1,408.4,8.8,11.18,7.53
1990-10-01,2791.26,2030.9,314.94,2515.84,37.09,37.05,396.3,8.73,11.07,7.53
1990-10-02,2905.48,2058.5,315.21,2505.2,33.95,33.83,387.85,8.68,11.06,7.55
1990-10-03,2862.55,2087,311.4,2489.36,37.32,36.62,389.4,8.72,11.15,7.56
1990-10-04,2862.55,2070.5,312.69,2516.83,36.93,35.92,395.75,8.65,11.13,7.48
1990-10-05,2850.45,2144.2,311.5,2510.64,37.99,37.35,395.6,8.64,11.15,7.43
1990-10-08,2925.48,2201.6,313.48,2523.76,38.95,38.32,390.8,8.67,11.15,7.43
1990-10-09,2913.52,2121.8,305.1,2445.54,40.4,40.15,397,8.81,11.33,7.55
1990-10-10,2872.41,2102.2,300.39,2407.92,38.69,38.94,391.8,8.91,11.39,7.58
1990-10-11,2884.41,2100.4,295.46,2365.1,40.42,37.72,388,8.92,11.38,7.54
1990-10-12,2915.26,2101.9,300.03,2398.02,39.69,37.35,388.25,8.81,11.27,7.5
1990-10-15,2916.38,2083.6,303.23,2416.34,37.95,35.9,380.7,8.79,11.3,7.54
1990-10-16,2949.57,2068,298.92,2381.19,38.89,36.55,364.75,8.75,11.3,7.56
1990-10-17,2958.54,2082.6,298.76,2387.87,36.72,34.03,366,8.74,11.25,7.58
1990-10-18,2950.52,2089,305.74,2452.72,36.8,34.11,367.85,8.68,11.18,7.57
1990-10-19,2991.95,2102,312.48,2520.79,33.79,31.01,372,8.61,11.14,7.53
1990-10-22,3015.56,2127,314.76,2516.09,28.38,26.82,367.5,8.62,11.2,7.54
1990-10-23,3081.23,2110.5,312.36,2494.06,29.37,28.31,371.65,8.66,11.23,7.53
1990-10-24,3042.08,2088.7,312.6,2504.21,31.08,29.96,371.1,8.64,11.19,7.53
1990-10-25,3050.88,2063.2,310.17,2484.16,34.25,33.2,375.05,8.62,11.12,7.5
1990-10-26,3050.88,2062.1,304.71,2436.14,33.01,32.05,373.7,8.63,11.04,7.46
1990-10-29,3063.53,2033.9,301.88,2430.2,34.68,33.93,372.7,8.69,11.11,7.48
1990-10-30,3011.65,2050.4,304.06,2448.02,34.54,34.25,373.75,8.68,11.11,7.49
1990-10-31,2990.96,2050.3,304,2442.33,35.23,34.41,379.5,8.62,11.02,7.45
1990-11-01,2968.74,2028,307.02,2454.95,35.17,34.57,380.4,8.55,10.93,7.35
1990-11-02,2978.92,2030.4,311.85,2490.84,34,33.55,377.5,8.56,10.89,7.39
1990-11-05,2967.24,2050.1,314.59,2502.23,31.96,31.86,376.9,8.49,10.8,7.38
1990-11-06,2966.71,2070.3,311.62,2485.15,32.63,32.25,379.25,8.51,10.76,7.44
1990-11-07,2955.19,2059.1,306.01,2440.84,35.31,34.83,385,8.55,10.79,7.42
1990-11-08,2932.44,2036.2,307.61,2443.81,35.53,34.89,384.75,8.55,10.81,7.41
1990-11-09,2932.92,2040.6,313.74,2488.61,33.89,33.5,385.7,8.47,10.67,7.39
1990-11-12,2949.56,2051.9,319.48,2540.35,31.87,30.64,380.7,8.42,10.67,7.44
1990-11-13,2998.97,2056,317.67,2535.4,33.12,31.37,383.5,8.38,10.57,7.4
1990-11-14,3006.82,2046,320.4,2559.65,31.16,30.43,383.9,8.36,10.56,7.36
1990-11-15,2990.47,2060,317.02,2545.05,31.12,30.4,378,8.36,10.58,7.36
1990-11-16,3008.66,2068.1,317.12,2550.25,29.78,29,376.3,8.3,10.35,7.37
1990-11-19,3042.58,2095.9,319.34,2565.35,31.5,29.82,377.8,8.35,10.56,7.43
1990-11-20,3031.92,2115.2,315.31,2530.2,28.91,28.33,380,8.3,10.51,7.42
1990-11-21,3013.66,2126.3,316.03,2539.36,29.63,28.94,377.3,8.26,10.46,7.35
1990-11-22,3023.08,2127.9,316.03,2539.36,29.63,29.99,380,8.27,10.27,7.34
1990-11-23,3016.06,2170.5,315.1,2527.23,31.9,31,383.6,8.28,10.49,7.31
1990-11-26,2995.52,2151.9,316.51,2533.17,32.95,32.82,386.9,8.28,10.48,7.32
1990-11-27,2998.94,2159.5,318.1,2543.81,32.86,32.89,383.8,8.28,10.51,7.32
1990-11-28,2986.39,2144.3,317.95,2535.15,33.28,32.98,385,8.29,10.54,7.37
1990-11-29,2978.35,2135.7,316.42,2518.81,32.91,32.39,386.8,8.34,10.62,7.38
1990-11-30,2965.06,2149.3,322.22,2559.65,28.85,29.2,384.85,8.25,10.57,7.38
1990-12-03,3020.17,2162.7,324.1,2565.59,29.15,29.72,380.65,8.21,10.53,7.36
1990-12-04,3020.84,2146.4,326.35,2579.7,30.66,30.7,377.6,8.16,10.51,7.2
1990-12-05,3066.23,2152.6,329.92,2610.4,27.29,27.33,376,8.16,10.43,7.2
1990-12-06,3126.79,2177.5,329.07,2602.48,26.4,26.8,370,8.17,10.4,7.22
1990-12-07,3163.69,2183.3,327.75,2590.1,26.58,27.18,370.8,8.02,10.24,7.07
1990-12-10,3149.13,2182.5,328.89,2596.78,26.9,27.73,374.05,7.96,10.19,7.01
1990-12-11,3144.62,2166.1,326.44,2586.14,26.41,27.02,372.1,7.92,10.02,7.04
1990-12-12,3160.79,2156.9,330.19,2622.28,25.35,25.91,370.9,7.9,10.04,6.98
1990-12-13,3150.12,2172.2,329.34,2614.36,26.42,27.39,372,7.96,10.14,7.04
1990-12-14,3125.69,2168.4,326.82,2593.81,26.55,27.7,373.2,8.03,10.17,7.07
1990-12-17,3051.92,2157.8,326.02,2593.32,27.05,25.67,376.3,8.01,10.17,7.05
1990-12-18,3066.65,2161.8,330.05,2626.73,27.86,26.08,377.4,7.89,10.15,6.88
1990-12-19,3083.44,2178.7,330.2,2626.73,27.86,26.51,378.9,7.99,10.2,6.9
1990-12-20,3078.21,2158.8,330.12,2629.46,26.39,26.08,385.45,8.05,10.23,6.86
1990-12-21,3079.67,2164.5,331.75,2633.66,25.92,25.78,383.75,8.11,10.24,6.92
1990-12-24,3060.95,2156.5,329.9,2621.29,25.92,26.77,383.75,8.19,10.35,6.95
1990-12-25,3060.95,2156.5,329.9,2621.29,25.92,26.77,383.75,8.18,10.35,6.95
1990-12-26,3060.95,2156.5,330.85,2637.13,27.22,26.77,383.75,8.12,10.35,6.9
1990-12-27,3066.71,2167.8,328.29,2625.5,27.01,26.49,382.8,8.09,10.26,6.91
1990-12-28,3053.73,2160.4,328.72,2629.21,27.57,27.04,382.8,8.13,10.26,6.85
1990-12-31,3024.55,2143.4,330.22,2633.66,28.44,28.27,382.8,8.07,10.28,6.74
1991-01-01,3024.55,2143.4,330.22,2633.66,28.44,28.27,382.8,8.07,10.28,6.74
1991-01-02,3031.34,2128.3,326.45,2610.64,26.49,26.44,390.8,8.07,10.13,6.74
1991-01-03,3004.88,2117.8,321.91,2573.51,25.48,24.89,386.3,7.93,10.08,6.68
1991-01-04,3046.61,2126.1,321,2566.09,24.9,23.56,387.4,8.01,10.11,6.81
1991-01-07,3026.52,2113.4,315.44,2522.77,27.65,26.79,391.1,8.12,10.22,6.81
1991-01-08,3009.42,2099.9,314.9,2509.41,27.17,26.24,389.7,8.17,10.24,6.72
1991-01-09,3027.6,2128.9,311.49,2470.3,27.26,26.15,387.1,8.25,10.24,6.57
1991-01-10,3035.53,2108.7,314.53,2498.76,27.71,26.25,390.55,8.13,10.16,6.61
1991-01-11,3058.37,2105.8,315.23,2501.49,27.29,25.67,390.6,8.17,10.21,6.53
1991-01-14,3037.62,2080.8,312.49,2483.91,30.78,29.17,398.6,8.17,10.24,6.48
1991-01-15,3000.82,2071.1,313.73,2490.59,30.07,28.19,398.5,8.2,10.26,6.44
1991-01-16,2984.01,2054.9,316.17,2508.91,32,30.2,403,8.23,10.22,6.44
1991-01-17,3087.83,2104.6,327.97,2623.51,21.44,19.7,379,8.05,10.06,6.56
1991-01-18,3072.17,2102.7,332.23,2646.78,19.25,18.2,378.25,8.02,10.01,6.5
1991-01-21,3066.98,2084,331.06,2629.21,21.3,18.97,378.2,8.04,10.09,6.48
1991-01-22,3062.08,2081.6,328.31,2603.22,24.18,20.5,381,8.07,10.11,6.47
1991-01-23,3090.4,2080.5,330.21,2619.06,22.04,20.56,378.3,8.02,10.07,6.47
1991-01-24,3140.5,2099.5,334.78,2643.07,21.71,20.37,373,7.98,9.94,6.45
1991-01-25,3206.36,2103,336.07,2659.41,21.35,20,374.25,8.04,9.97,6.51
1991-01-28,3198.29,2118,336.03,2654.46,20.96,19.87,374.5,8.04,10.01,6.54
1991-01-29,3192.9,2113.8,335.84,2662.62,21.85,20.47,376.8,8.03,10,6.54
