"","Average","Complete","Single","Ward"
"1",40.8507399167187,202.331389016057,202.331389016057,82.1299387839569
"2",166.353685052548,350.524439307894,145.569811092276,108.800389521649
"3",60.4249778509423,208.154525577895,117.027723944385,91.5647973950711
"4",156.153283502301,134.63454167215,83.8638219646131,125.67216801574
"5",1316.65482728897,587.517774177956,660.033998701332,528.600209934715
"6",1146.43029414197,1811.82480401748,781.23333939119,480.91739497958
"7",308.014685186011,159.874360505244,184.213085478904,148.940121111273
"8",270.269136863435,201.292617207339,256.388925938054,134.519647320451
"9",304.480632614295,200.269928520024,288.570939019777,134.181019123284
"10",51.3308609560499,114.040530427762,51.3308609560499,63.3104918403089
"11",148.84202122665,130.911018444848,148.84202122665,51.5268491580754
"12",325.860742215132,351.163079674222,325.860742215132,124.798501523392
"13",212.270068477761,80.1414793847479,212.270068477761,100.09469648046
"14",116.654576806778,28.5307161142442,95.4802547826326,21.1192612887974
"15",124.908935463931,129.185188096628,121.901106498711,65.3580104931414
